"",BBK01.OELK02R,BBK01.OELK02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:20,
2002-01,0.191,
2002-04,0.191,
2002-07,0.220,
2002-10,0.217,
2003-01,0.189,
2003-04,0.198,
2003-07,0.218,
2003-10,0.222,
2004-01,0.195,
2004-04,0.211,
2004-07,0.234,
2004-10,0.240,
2005-01,0.202,
2005-04,0.211,
2005-07,0.239,
2005-10,0.259,
2006-01,0.197,
2006-04,0.197,
2006-07,0.231,
2006-10,0.242,
2007-01,0.220,
2007-04,0.230,
2007-07,0.262,
2007-10,0.285,
2008-01,0.243,
2008-04,0.239,
2008-07,0.273,
2008-10,0.282,
2009-01,0.254,
2009-04,0.266,
2009-07,0.296,
2009-10,0.293,
2010-01,0.272,
2010-04,0.290,
2010-07,0.321,
2010-10,0.319,
2011-01,0.289,
2011-04,0.302,
2011-07,0.339,
2011-10,0.353,
2012-01,0.318,
2012-04,0.404,
2012-07,0.460,
2012-10,0.467,
2013-01,0.435,
2013-04,0.439,
2013-07,0.496,
2013-10,0.516,
2014-01,0.499,
2014-04,0.506,
2014-07,0.562,
