"",BBK01.OEXL09H,BBK01.OEXL09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:40,
2002-01,1.241,
2002-04,1.152,
2002-07,1.221,
2002-10,1.187,
2003-01,1.066,
2003-04,0.950,
2003-07,0.882,
2003-10,0.872,
2004-01,0.854,
2004-04,0.771,
2004-07,0.743,
2004-10,0.741,
2005-01,0.778,
2005-04,0.761,
2005-07,0.686,
2005-10,0.708,
2006-01,0.742,
2006-04,0.806,
2006-07,0.880,
2006-10,0.989,
2007-01,1.347,
2007-04,1.511,
2007-07,1.672,
2007-10,1.899,
2008-01,2.038,
2008-04,2.085,
2008-07,2.186,
2008-10,3.134,
2009-01,3.091,
2009-04,3.018,
2009-07,3.014,
2009-10,2.458,
2010-01,1.931,
2010-04,1.860,
2010-07,1.804,
2010-10,2.292,
2011-01,2.692,
2011-04,2.765,
2011-07,2.768,
2011-10,2.633,
2012-01,2.380,
2012-04,2.382,
2012-07,2.263,
2012-10,1.947,
2013-01,1.673,
2013-04,1.427,
2013-07,1.327,
2013-10,1.258,
2014-01,1.194,
2014-04,1.133,
2014-07,1.416,
