"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.PT.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.PT.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Portugal / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:38,
2009-09,2972,
2009-10,3079,
2009-11,3137,
2009-12,3098,
2010-01,3054,
2010-02,3005,
2010-03,3067,
2010-04,2765,
2010-05,2677,
2010-06,2593,
2010-07,2510,
2010-08,2551,
2010-09,2468,
2010-10,2422,
2010-11,2245,
2010-12,2199,
2011-01,2062,
2011-02,1985,
2011-03,1924,
2011-04,1783,
2011-05,1607,
2011-06,1549,
2011-07,1334,
2011-08,1219,
2011-09,1182,
2011-10,1134,
2011-11,1089,
2011-12,1048,
2012-01,954,
2012-02,893,
2012-03,719,
2012-04,599,
2012-05,577,
2012-06,579,
2012-07,386,
2012-08,390,
2012-09,405,
2012-10,420,
2012-11,381,
2012-12,396,
2013-01,507,
2013-02,516,
2013-03,540,
2013-04,480,
2013-05,453,
2013-06,420,
2013-07,409,
2013-08,416,
2013-09,420,
2013-10,425,
2013-11,469,
2013-12,464,
2014-01,596,
2014-02,648,
2014-03,744,
2014-04,803,
2014-05,874,
2014-06,1026,
2014-07,1040,
2014-08,1058,
2014-09,1060,
2014-10,1036,
2014-11,890,
