"",BBK01.OEBB17P,BBK01.OEBB17P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:07,
2002-01,1.556,
2002-04,1.572,
2002-07,1.606,
2002-10,1.621,
2003-01,1.635,
2003-04,1.660,
2003-07,1.669,
2003-10,1.553,
2004-01,1.560,
2004-04,1.573,
2004-07,1.583,
2004-10,1.562,
2005-01,1.684,
2005-04,1.700,
2005-07,1.743,
2005-10,1.764,
2006-01,1.786,
2006-04,1.795,
2006-07,1.810,
2006-10,1.839,
2007-01,1.863,
2007-04,1.858,
2007-07,1.904,
2007-10,2.011,
2008-01,2.022,
2008-04,2.758,
2008-07,2.769,
2008-10,2.743,
2009-01,2.721,
2009-04,3.020,
2009-07,2.994,
2009-10,2.975,
2010-01,2.969,
2010-04,2.963,
2010-07,2.833,
2010-10,2.833,
2011-01,2.899,
2011-04,2.904,
2011-07,2.925,
2011-10,2.918,
2012-01,2.927,
2012-04,2.938,
2012-07,2.950,
2012-10,2.940,
2013-01,2.971,
2013-04,2.943,
2013-07,2.928,
2013-10,2.917,
2014-01,2.876,
2014-04,2.865,
2014-07,2.850,
