"",BBK01.OECB20V,BBK01.OECB20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:28,
2002-01,1.644,
2002-04,1.629,
2002-07,1.607,
2002-10,1.559,
2003-01,1.536,
2003-04,1.514,
2003-07,1.492,
2003-10,1.454,
2004-01,1.436,
2004-04,1.583,
2004-07,1.567,
2004-10,1.539,
2005-01,2.228,
2005-04,2.257,
2005-07,2.296,
2005-10,2.325,
2006-01,2.350,
2006-04,2.383,
2006-07,2.420,
2006-10,2.467,
2007-01,2.484,
2007-04,2.599,
2007-07,2.625,
2007-10,2.619,
2008-01,2.619,
2008-04,2.631,
2008-07,2.662,
2008-10,2.665,
2009-01,2.649,
2009-04,3.674,
2009-07,3.609,
2009-10,3.545,
2010-01,3.507,
2010-04,3.459,
2010-07,3.111,
2010-10,3.064,
2011-01,3.168,
2011-04,3.142,
2011-07,3.173,
2011-10,3.146,
2012-01,3.160,
2012-04,3.172,
2012-07,3.218,
2012-10,3.246,
2013-01,3.277,
2013-04,3.312,
2013-07,3.347,
2013-10,3.462,
2014-01,3.500,
2014-04,3.586,
2014-07,3.608,
