"",BBK01.OELK04Q,BBK01.OELK04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:34,
2002-01,0.323,
2002-04,0.311,
2002-07,0.296,
2002-10,0.290,
2003-01,0.277,
2003-04,0.246,
2003-07,0.238,
2003-10,0.239,
2004-01,0.232,
2004-04,0.224,
2004-07,0.214,
2004-10,0.213,
2005-01,0.208,
2005-04,0.199,
2005-07,0.205,
2005-10,0.206,
2006-01,0.216,
2006-04,0.214,
2006-07,0.220,
2006-10,0.230,
2007-01,0.230,
2007-04,0.219,
2007-07,0.224,
2007-10,0.245,
2008-01,0.267,
2008-04,0.263,
2008-07,0.280,
2008-10,0.316,
2009-01,0.273,
2009-04,0.235,
2009-07,0.207,
2009-10,0.183,
2010-01,0.186,
2010-04,0.170,
2010-07,0.163,
2010-10,0.165,
2011-01,0.167,
2011-04,0.167,
2011-07,0.172,
2011-10,0.174,
2012-01,0.167,
2012-04,0.164,
2012-07,0.150,
2012-10,0.136,
2013-01,0.127,
2013-04,0.117,
2013-07,0.113,
2013-10,0.113,
2014-01,0.105,
2014-04,0.099,
2014-07,0.094,
