"",BBK01.OEXI08O,BBK01.OEXI08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:16,
2002-01,-24.487,
2002-04,-24.901,
2002-07,-25.214,
2002-10,-28.143,
2003-01,-29.639,
2003-04,-30.014,
2003-07,-30.673,
2003-10,-32.890,
2004-01,-34.037,
2004-04,-34.402,
2004-07,-34.553,
2004-10,-35.380,
2005-01,0.471,
2005-04,0.490,
2005-07,0.496,
2005-10,0.518,
2006-01,0.514,
2006-04,0.491,
2006-07,0.463,
2006-10,0.478,
2007-01,0.479,
2007-04,0.486,
2007-07,0.495,
2007-10,0.533,
2008-01,0.539,
2008-04,0.521,
2008-07,0.517,
2008-10,0.518,
2009-01,0.518,
2009-04,0.513,
2009-07,0.561,
2009-10,0.622,
2010-01,0.627,
2010-04,0.615,
2010-07,0.608,
2010-10,0.621,
2011-01,0.611,
2011-04,0.592,
2011-07,0.579,
2011-10,0.594,
2012-01,0.597,
2012-04,0.599,
2012-07,0.611,
2012-10,0.645,
2013-01,0.645,
2013-04,0.649,
2013-07,0.654,
2013-10,0.666,
2014-01,0.657,
2014-04,0.648,
2014-07,0.636,
