"",BBK01.OEAC07G,BBK01.OEAC07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:11,
2002-01,4.206,
2002-04,5.379,
2002-07,5.243,
2002-10,5.143,
2003-01,4.936,
2003-04,4.930,
2003-07,4.856,
2003-10,4.953,
2004-01,4.963,
2004-04,5.043,
2004-07,4.981,
2004-10,4.973,
2005-01,4.942,
2005-04,4.988,
2005-07,5.204,
2005-10,4.910,
2006-01,4.923,
2006-04,5.046,
2006-07,4.970,
2006-10,4.983,
2007-01,4.974,
2007-04,5.062,
2007-07,5.207,
2007-10,5.240,
2008-01,5.340,
2008-04,5.552,
2008-07,5.710,
2008-10,5.719,
2009-01,5.616,
2009-04,5.914,
2009-07,5.736,
2009-10,5.655,
2010-01,5.376,
2010-04,5.570,
2010-07,5.386,
2010-10,5.318,
2011-01,5.251,
2011-04,5.290,
2011-07,5.264,
2011-10,5.332,
2012-01,5.346,
2012-04,5.428,
2012-07,5.299,
2012-10,5.366,
2013-01,5.330,
2013-04,5.265,
2013-07,5.243,
2013-10,5.161,
2014-01,5.166,
2014-04,5.393,
2014-07,5.317,
