"",BBK01.OEAE14P,BBK01.OEAE14P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:08,
2002-01,0.030,
2002-04,0.030,
2002-07,0.033,
2002-10,0.033,
2003-01,0.032,
2003-04,0.029,
2003-07,0.031,
2003-10,0.030,
2004-01,0.026,
2004-04,0.027,
2004-07,0.027,
2004-10,0.025,
2005-01,0.022,
2005-04,0.022,
2005-07,0.019,
2005-10,0.018,
2006-01,0.021,
2006-04,0.023,
2006-07,0.021,
2006-10,0.019,
2007-01,0.022,
2007-04,0.022,
2007-07,0.023,
2007-10,0.022,
2008-01,0.025,
2008-04,0.022,
2008-07,0.023,
2008-10,0.021,
2009-01,0.024,
2009-04,0.021,
2009-07,0.020,
2009-10,0.019,
2010-01,0.022,
2010-04,0.021,
2010-07,0.020,
2010-10,0.020,
2011-01,0.020,
2011-04,0.020,
2011-07,0.018,
2011-10,0.016,
2012-01,0.018,
2012-04,0.018,
2012-07,0.018,
2012-10,0.018,
2013-01,0.022,
2013-04,0.019,
2013-07,0.019,
2013-10,0.019,
2014-01,0.019,
2014-04,0.020,
2014-07,0.020,
