"",BBK01.OELB19M,BBK01.OELB19M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:12,
2002-01,1.496,
2002-04,1.457,
2002-07,1.419,
2002-10,1.362,
2003-01,1.318,
2003-04,1.293,
2003-07,1.276,
2003-10,1.235,
2004-01,1.203,
2004-04,1.180,
2004-07,1.161,
2004-10,1.118,
2005-01,1.088,
2005-04,1.066,
2005-07,1.053,
2005-10,1.018,
2006-01,0.978,
2006-04,0.953,
2006-07,0.940,
2006-10,0.910,
2007-01,0.883,
2007-04,0.856,
2007-07,0.839,
2007-10,0.810,
2008-01,0.787,
2008-04,0.768,
2008-07,0.759,
2008-10,0.736,
2009-01,0.724,
2009-04,0.712,
2009-07,0.721,
2009-10,0.714,
2010-01,0.709,
2010-04,0.707,
2010-07,0.723,
2010-10,0.737,
2011-01,0.749,
2011-04,0.782,
2011-07,0.816,
2011-10,0.824,
2012-01,0.837,
2012-04,0.875,
2012-07,0.891,
2012-10,0.893,
2013-01,0.884,
2013-04,0.896,
2013-07,0.894,
2013-10,0.896,
2014-01,0.910,
2014-04,0.915,
2014-07,0.931,
