"",BBSF2.M.1.S.00000.TOT01.I.F.INV.DE.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.DE.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:53,
2009-09,37625,
2009-10,40813,
2009-11,42855,
2009-12,45926,
2010-01,46389,
2010-02,46973,
2010-03,49122,
2010-04,50096,
2010-05,51090,
2010-06,51529,
2010-07,53170,
2010-08,58562,
2010-09,60601,
2010-10,62089,
2010-11,64212,
2010-12,66355,
2011-01,65061,
2011-02,69343,
2011-03,69047,
2011-04,70289,
2011-05,70722,
2011-06,70360,
2011-07,71570,
2011-08,67956,
2011-09,67591,
2011-10,69796,
2011-11,72089,
2011-12,75777,
2012-01,78131,
2012-02,85069,
2012-03,85523,
2012-04,86607,
2012-05,86950,
2012-06,88953,
2012-07,100501,
2012-08,101924,
2012-09,103045,
2012-10,105203,
2012-11,107502,
2012-12,113012,
2013-01,114725,
2013-02,116262,
2013-03,118652,
2013-04,122881,
2013-05,121307,
2013-06,116584,
2013-07,121428,
2013-08,120281,
2013-09,122982,
2013-10,127035,
2013-11,128769,
2013-12,128483,
2014-01,128310,
2014-02,130629,
2014-03,130213,
2014-04,131910,
2014-05,134661,
2014-06,135650,
2014-07,140280,
2014-08,144655,
2014-09,143542,
2014-10,144636,
2014-11,148259,
