"",BBK01.OEAF12U,BBK01.OEAF12U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:20,
2002-01,0.389,
2002-04,0.408,
2002-07,0.433,
2002-10,0.423,
2003-01,0.412,
2003-04,0.440,
2003-07,0.442,
2003-10,0.421,
2004-01,0.409,
2004-04,0.401,
2004-07,0.414,
2004-10,0.397,
2005-01,0.407,
2005-04,0.413,
2005-07,0.430,
2005-10,0.408,
2006-01,0.395,
2006-04,0.409,
2006-07,0.414,
2006-10,0.395,
2007-01,0.382,
2007-04,0.392,
2007-07,0.389,
2007-10,0.383,
2008-01,0.373,
2008-04,0.378,
2008-07,0.388,
2008-10,0.395,
2009-01,0.382,
2009-04,0.376,
2009-07,0.372,
2009-10,0.352,
2010-01,0.345,
2010-04,0.337,
2010-07,0.333,
2010-10,0.304,
2011-01,0.305,
2011-04,0.299,
2011-07,0.305,
2011-10,0.289,
2012-01,0.287,
2012-04,0.282,
2012-07,0.284,
2012-10,0.279,
2013-01,0.268,
2013-04,0.268,
2013-07,0.278,
2013-10,0.266,
2014-01,0.258,
2014-04,0.272,
2014-07,0.270,
