"",BBEX3.M.RSD.USD.CA.AA.A01,BBEX3.M.RSD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Serbia  / USD 1 = RSD ... (buying),
unit,RSD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:26,
2006-10,62.6466,
2006-11,59.5399,
2006-12,59.7958,
2007-01,60.7646,
2007-02,60.3345,
2007-03,60.9255,
2007-04,59.0095,
2007-05,60.2624,
2007-06,58.6049,
2007-07,57.8375,
2007-08,58.3091,
2007-09,55.5098,
2007-10,53.3261,
2007-11,57.2725,
2007-12,53.5655,
2008-01,55.4145,
2008-02,54.8032,
2008-03,51.9711,
2008-04,51.3063,
2008-05,52.9290,
2008-06,49.8617,
2008-07,49.2480,
2008-08,51.6396,
2008-09,53.1178,
2008-10,66.1380,
2008-11,68.8135,
2008-12,62.7113,
2009-01,72.6490,
2009-02,73.4592,
2009-03,71.3750,
2009-04,71.4261,
2009-05,67.5330,
2009-06,66.0484,
2009-07,65.7283,
2009-08,64.9503,
2009-09,63.4067,
2009-10,62.8063,
2009-11,62.7399,
2009-12,66.5283,
2010-01,70.4309,
2010-02,73.0779,
2010-03,74.1583,
2010-04,74.7398,
2010-05,83.1685,
2010-06,85.2230,
2010-07,80.9934,
2010-08,82.7512,
2010-09,77.8756,
2010-10,77.1037,
2010-11,81.5139,
2010-12,79.0424,
2011-01,76.5834,
2011-02,74.7704,
2011-03,73.0027,
2011-04,66.9387,
2011-05,67.2153,
2011-06,70.4279,
2011-07,71.0379,
2011-08,70.1912,
2011-09,74.4536,
2011-10,71.5803,
2011-11,77.7894,
2011-12,80.6236,
2012-01,80.1514,
2012-02,81.5380,
2012-03,83.0630,
2012-04,84.1854,
2012-05,93.8204,
2012-06,91.8712,
2012-07,95.5142,
2012-08,94.4544,
2012-09,88.6709,
2012-10,87.1614,
2012-11,86.3911,
2012-12,85.9178,
2013-01,81.9160,
2013-02,84.5903,
2013-03,87.1635,
2013-04,84.1369,
2013-05,85.3535,
2013-06,87.1519,
2013-07,85.5721,
2013-08,86.1388,
2013-09,84.6312,
2013-10,82.9498,
2013-11,83.4817,
2013-12,82.8788,
2014-01,85.3147,
2014-02,84.3644,
2014-03,83.6338,
2014-04,83.5287,
2014-05,84.7520,
2014-06,84.5948,
2014-07,86.9110,
2014-08,89.1491,
2014-09,93.3393,
2014-10,94.4788,
2014-11,96.5420,
2014-12,99.1657,
2015-01,108.5854,
"","General: * Independent since 3 June 2006; formerly ""Serbia and Montenegro"". The euro has been the sole legal tender in Montenegro since 1 April 2002. On 25 October 2006, the ISO code was changed from CSD to RSD.",
"","Source: National Bank of Serbia, Belgrade",
