"",BBK01.OEAD15M,BBK01.OEAD15M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:12,
2002-01,0.856,
2002-04,0.894,
2002-07,0.726,
2002-10,0.456,
2003-01,0.454,
2003-04,0.383,
2003-07,0.359,
2003-10,0.316,
2004-01,0.372,
2004-04,0.400,
2004-07,0.377,
2004-10,0.344,
2005-01,0.370,
2005-04,0.375,
2005-07,0.407,
2005-10,0.292,
2006-01,0.337,
2006-04,0.356,
2006-07,0.350,
2006-10,0.307,
2007-01,0.321,
2007-04,0.405,
2007-07,0.302,
2007-10,0.326,
2008-01,0.312,
2008-04,0.302,
2008-07,0.304,
2008-10,0.269,
2009-01,0.264,
2009-04,0.274,
2009-07,0.259,
2009-10,0.241,
2010-01,0.369,
2010-04,0.429,
2010-07,0.415,
2010-10,0.356,
2011-01,0.430,
2011-04,0.428,
2011-07,0.442,
2011-10,0.406,
2012-01,0.453,
2012-04,0.427,
2012-07,0.459,
2012-10,0.425,
2013-01,0.384,
2013-04,0.405,
2013-07,0.431,
2013-10,0.375,
2014-01,0.379,
2014-04,0.375,
2014-07,0.327,
