"",BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:05,
1991-01,21.548,
1991-04,430.418,
1991-07,-159.542,
1991-10,42.311,
1992-01,64.649,
1992-04,270.849,
1992-07,313.525,
1992-10,34.361,
1993-01,257.551,
1993-04,29.234,
1993-07,703.641,
1993-10,1047.922,
1994-01,478.776,
1994-04,461.850,
1994-07,317.810,
1994-10,1483.474,
1995-01,-1290.099,
1995-04,271.009,
1995-07,-100.288,
1995-10,749.840,
1996-01,504.283,
1996-04,226.465,
1996-07,951.120,
1996-10,978.513,
1997-01,2892.236,
1997-04,1028.250,
1997-07,2782.919,
1997-10,1328.690,
1998-01,4022.658,
1998-04,6904.166,
1998-07,183.556,
1998-10,4115.984,
1999-01,5187.550,
1999-04,6333.059,
1999-07,2132.600,
1999-10,2415.506,
2000-01,33089.134,
2000-04,2758.935,
2000-07,6580.296,
2000-10,7826.647,
2001-01,7553.438,
2001-04,5861.816,
2001-07,2015.494,
2001-10,2003.611,
2002-01,2461.464,
2002-04,2138.556,
2002-07,1714.861,
2002-10,-875.597,
2003-01,-923.857,
2003-04,1703.624,
2003-07,-185.709,
2003-10,1373.612,
2004-01,4376.838,
2004-04,3783.820,
2004-07,2862.690,
2004-10,2488.982,
2005-01,4827.264,
2005-04,6747.166,
2005-07,4969.803,
2005-10,1314.654,
2006-01,7871.084,
2006-04,4768.458,
2006-07,2486.096,
2006-10,5766.649,
2007-01,6200.988,
2007-04,9112.344,
2007-07,2933.398,
2007-10,2063.620,
2008-01,1522.381,
2008-04,9990.020,
2008-07,-2300.151,
2008-10,-6530.017,
2009-01,-4620.105,
2009-04,-325.177,
2009-07,2623.190,
2009-10,2507.507,
2010-01,2272.163,
2010-04,-1140.784,
2010-07,2492.074,
2010-10,16709.635,
2011-01,5163.433,
2011-04,2710.070,
2011-07,-2287.551,
2011-10,-1613.195,
2012-01,4875.653,
2012-04,-3199.622,
2012-07,-2513.647,
2012-10,837.346,
2013-01,-1236.928,
2013-04,-323.525,
2013-07,-1103.672,
2013-10,-908.095,
2014-01,-371.696,Provisional value
2014-04,1593.366,Provisional value
2014-07,4067.112,Provisional value
2014-10,635.295,Provisional value
