"",BBFB1.Q.N.DE.AU.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:42,
1991-01,273.182,
1991-04,283.099,
1991-07,267.889,
1991-10,257.990,
1992-01,228.056,
1992-04,231.550,
1992-07,209.436,
1992-10,190.864,
1993-01,164.384,
1993-04,165.855,
1993-07,160.153,
1993-10,156.376,
1994-01,219.690,
1994-04,232.218,
1994-07,228.211,
1994-10,234.314,
1995-01,179.912,
1995-04,173.088,
1995-07,162.008,
1995-10,147.373,
1996-01,186.333,
1996-04,216.313,
1996-07,186.257,
1996-10,186.375,
1997-01,163.006,
1997-04,167.868,
1997-07,205.031,
1997-10,185.944,
1998-01,123.542,
1998-04,135.514,
1998-07,110.872,
1998-10,116.340,
1999-01,58.103,
1999-04,47.467,
1999-07,29.891,
1999-10,38.470,
2000-01,146.790,
2000-04,119.069,
2000-07,157.757,
2000-10,185.540,
2001-01,197.623,
2001-04,162.590,
2001-07,162.856,
2001-10,202.641,
2002-01,187.187,
2002-04,176.780,
2002-07,171.532,
2002-10,170.837,
2003-01,157.037,
2003-04,160.401,
2003-07,162.710,
2003-10,166.999,
2004-01,226.053,
2004-04,221.478,
2004-07,236.010,
2004-10,251.616,
2005-01,323.184,
2005-04,322.977,
2005-07,348.772,
2005-10,345.770,
2006-01,204.728,
2006-04,201.764,
2006-07,220.407,
2006-10,228.496,
2007-01,295.887,
2007-04,303.906,
2007-07,294.088,
2007-10,291.322,
2008-01,327.305,
2008-04,287.925,
2008-07,305.291,
2008-10,384.176,
2009-01,417.195,
2009-04,412.538,
2009-07,422.666,
2009-10,481.879,
2010-01,601.792,
2010-04,607.692,
2010-07,631.384,
2010-10,664.022,
2011-01,506.188,
2011-04,548.250,
2011-07,592.294,
2011-10,588.241,
2012-01,589.223,
2012-04,576.855,
2012-07,617.046,
2012-10,602.368,
2013-01,493.128,
2013-04,500.727,
2013-07,509.346,
2013-10,492.332,
2014-01,459.657,Provisional value
2014-04,473.128,Provisional value
2014-07,565.934,Provisional value
