"",BBDP1.M.DE.S.VPI.C.GOODS0MFXE.I10.A,BBDP1.M.DE.S.VPI.C.GOODS0MFXE.I10.A_FLAGS
"",Consumer price index / Germany / Seasonally adjusted only / Manufactured goods (other durable and non-durable consumer goods) excluding energy,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 16:44:58,
1995-01,90.6,
1995-02,90.6,
1995-03,90.6,
1995-04,90.6,
1995-05,90.7,
1995-06,90.8,
1995-07,90.7,
1995-08,90.7,
1995-09,90.7,
1995-10,90.8,
1995-11,90.7,
1995-12,90.8,
1996-01,91.0,
1996-02,91.0,
1996-03,91.0,
1996-04,91.0,
1996-05,90.9,
1996-06,91.0,
1996-07,91.0,
1996-08,91.0,
1996-09,91.0,
1996-10,91.0,
1996-11,91.1,
1996-12,91.2,
1997-01,91.6,
1997-02,91.5,
1997-03,91.5,
1997-04,91.6,
1997-05,91.6,
1997-06,91.7,
1997-07,92.1,
1997-08,92.2,
1997-09,92.2,
1997-10,92.2,
1997-11,92.3,
1997-12,92.2,
1998-01,92.2,
1998-02,92.2,
1998-03,92.2,
1998-04,92.4,
1998-05,92.8,
1998-06,92.8,
1998-07,92.9,
1998-08,92.8,
1998-09,93.0,
1998-10,92.9,
1998-11,93.0,
1998-12,93.0,
1999-01,92.8,
1999-02,92.6,
1999-03,92.7,
1999-04,92.7,
1999-05,92.7,
1999-06,92.6,
1999-07,92.6,
1999-08,92.7,
1999-09,92.7,
1999-10,92.8,
1999-11,93.0,
1999-12,93.0,
2000-01,93.0,
2000-02,92.8,
2000-03,92.6,
2000-04,92.5,
2000-05,92.4,
2000-06,92.4,
2000-07,92.3,
2000-08,92.3,
2000-09,92.3,
2000-10,92.4,
2000-11,92.4,
2000-12,92.5,
2001-01,92.4,
2001-02,92.5,
2001-03,92.4,
2001-04,92.5,
2001-05,92.6,
2001-06,92.7,
2001-07,92.9,
2001-08,93.0,
2001-09,92.9,
2001-10,93.1,
2001-11,93.2,
2001-12,93.3,
2002-01,93.7,
2002-02,93.9,
2002-03,93.8,
2002-04,93.6,
2002-05,93.6,
2002-06,93.6,
2002-07,93.6,
2002-08,93.7,
2002-09,93.5,
2002-10,93.5,
2002-11,93.5,
2002-12,93.4,
2003-01,93.8,
2003-02,94.0,
2003-03,93.8,
2003-04,93.7,
2003-05,93.8,
2003-06,93.8,
2003-07,93.9,
2003-08,93.9,
2003-09,94.0,
2003-10,93.9,
2003-11,93.9,
2003-12,93.9,
2004-01,94.5,
2004-02,94.3,
2004-03,95.1,
2004-04,95.4,
2004-05,95.3,
2004-06,95.4,
2004-07,95.4,
2004-08,95.5,
2004-09,95.3,
2004-10,95.2,
2004-11,95.3,
2004-12,96.0,
2005-01,95.8,
2005-02,95.6,
2005-03,95.7,
2005-04,95.6,
2005-05,95.5,
2005-06,95.5,
2005-07,95.4,
2005-08,95.4,
2005-09,95.9,
2005-10,95.9,
2005-11,96.0,
2005-12,95.8,
2006-01,95.7,
2006-02,95.7,
2006-03,95.8,
2006-04,95.9,
2006-05,96.0,
2006-06,95.9,
2006-07,95.8,
2006-08,95.7,
2006-09,95.8,
2006-10,96.3,
2006-11,96.3,
2006-12,96.5,
2007-01,97.0,
2007-02,97.0,
2007-03,97.0,
2007-04,97.0,
2007-05,97.1,
2007-06,97.1,
2007-07,97.4,
2007-08,97.2,
2007-09,97.3,
2007-10,97.5,
2007-11,97.7,
2007-12,97.7,
2008-01,97.8,
2008-02,97.9,
2008-03,97.8,
2008-04,97.9,
2008-05,97.9,
2008-06,98.0,
2008-07,98.0,
2008-08,98.3,
2008-09,98.4,
2008-10,98.5,
2008-11,98.3,
2008-12,98.5,
2009-01,98.7,
2009-02,98.9,
2009-03,98.9,
2009-04,99.1,
2009-05,99.1,
2009-06,99.5,
2009-07,99.5,
2009-08,99.7,
2009-09,99.8,
2009-10,99.8,
2009-11,99.3,
2009-12,99.9,
2010-01,100.0,
2010-02,100.0,
2010-03,99.8,
2010-04,100.0,
2010-05,99.9,
2010-06,99.8,
2010-07,99.9,
2010-08,99.9,
2010-09,99.9,
2010-10,100.0,
2010-11,100.0,
2010-12,100.3,
2011-01,100.2,
2011-02,100.2,
2011-03,100.3,
2011-04,100.5,
2011-05,100.6,
2011-06,100.7,
2011-07,100.8,
2011-08,101.0,
2011-09,101.3,
2011-10,101.1,
2011-11,101.3,
2011-12,101.2,
2012-01,101.4,
2012-02,101.5,
2012-03,101.7,
2012-04,101.7,
2012-05,102.1,
2012-06,102.1,
2012-07,102.0,
2012-08,102.1,
2012-09,102.3,
2012-10,102.4,
2012-11,102.4,
2012-12,102.6,
2013-01,102.3,
2013-02,102.6,
2013-03,102.7,
2013-04,102.9,
2013-05,103.0,
2013-06,103.1,
2013-07,103.2,
2013-08,103.0,
2013-09,103.1,
2013-10,103.3,
2013-11,103.4,
2013-12,103.2,
2014-01,103.5,
2014-02,103.6,
2014-03,103.7,
2014-04,103.8,
2014-05,103.7,
2014-06,103.7,
2014-07,104.0,
2014-08,104.1,
2014-09,104.2,
2014-10,103.9,
2014-11,104.2,
2014-12,104.3,
2015-01,104.3,
2015-02,104.4,Estimated value
