"",BBSF2.M.1.S.I0015.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:50,
2009-09,6104,
2009-10,1447,
2009-11,116,
2009-12,1826,
2010-01,959,
2010-02,190,
2010-03,651,
2010-04,1299,
2010-05,460,
2010-06,125,
2010-07,761,
2010-08,252,
2010-09,432,
2010-10,257,
2010-11,255,
2010-12,997,
2011-01,457,
2011-02,245,
2011-03,426,
2011-04,457,
2011-05,113,
2011-06,357,
2011-07,158,
2011-08,1357,
2011-09,765,
2011-10,518,
2011-11,155,
2011-12,1013,
2012-01,480,
2012-02,251,
2012-03,325,
2012-04,201,
2012-05,144,
2012-06,471,
2012-07,406,
2012-08,411,
2012-09,459,
2012-10,806,
2012-11,1033,
2012-12,1251,
2013-01,1740,
2013-02,393,
2013-03,544,
2013-04,524,
2013-05,1088,
2013-06,1819,
2013-07,1420,
2013-08,352,
2013-09,300,
2013-10,758,
2013-11,1312,
2013-12,3245,
2014-01,682,
2014-02,355,
2014-03,656,
2014-04,172,
2014-05,253,
2014-06,603,
2014-07,335,
2014-08,415,
2014-09,461,
2014-10,633,
2014-11,443,
