"",BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F2.T.X1.N.N_FLAGS
"",Reserve Assets (mthly.) - Currency and deposits - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:06,
1998-12,8967,
1999-01,9534,
1999-02,10107,
1999-03,11373,
1999-04,11157,
1999-05,11499,
1999-06,12831,
1999-07,12692,
1999-08,12993,
1999-09,12680,
1999-10,11423,
1999-11,11315,
1999-12,10472,
2000-01,9848,
2000-02,10605,
2000-03,11530,
2000-04,12282,
2000-05,11152,
2000-06,9711,
2000-07,10363,
2000-08,9085,
2000-09,10117,
2000-10,9161,
2000-11,9092,
2000-12,7662,
2001-01,6066,
2001-02,6844,
2001-03,7464,
2001-04,6822,
2001-05,6031,
2001-06,6355,
2001-07,7575,
2001-08,6085,
2001-09,6942,
2001-10,8972,
2001-11,9111,
2001-12,6884,
2002-01,11630,
2002-02,12879,
2002-03,11955,
2002-04,10180,
2002-05,9136,
2002-06,9110,
2002-07,11231,
2002-08,11878,
2002-09,12752,
2002-10,12919,
2002-11,12454,
2002-12,10528,
2003-01,10861,
2003-02,11309,
2003-03,12273,
2003-04,11177,
2003-05,11211,
2003-06,11043,
2003-07,11320,
2003-08,11335,
2003-09,11086,
2003-10,10725,
2003-11,9877,
2003-12,9664,
2004-01,9736,
2004-02,9631,
2004-03,10216,
2004-04,10398,
2004-05,9363,
2004-06,12220,
2004-07,10617,
2004-08,10180,
2004-09,10248,
2004-10,10156,
2004-11,9170,
2004-12,9807,
2005-01,9667,
2005-02,9447,
2005-03,10425,
2005-04,10395,
2005-05,10428,
2005-06,10591,
2005-07,10177,
2005-08,8819,
2005-09,11521,
2005-10,10863,
2005-11,9806,
2005-12,9894,
2006-01,9900,
2006-02,8151,
2006-03,9684,
2006-04,7062,
2006-05,8029,
2006-06,8339,
2006-07,8760,
2006-08,7216,
2006-09,6836,
2006-10,6694,
2006-11,6352,
2006-12,6229,
2007-01,6038,
2007-02,5984,
2007-03,5837,
2007-04,6035,
2007-05,6484,
2007-06,5847,
2007-07,6639,
2007-08,6452,
2007-09,6729,
2007-10,6221,
2007-11,6123,
2007-12,6499,
2008-01,7191,
2008-02,7693,
2008-03,6878,
2008-04,6920,
2008-05,5634,
2008-06,8238,
2008-07,8039,
2008-08,7858,
2008-09,7207,
2008-10,7497,
2008-11,5977,
2008-12,3077,
2009-01,1035,
2009-02,1511,
2009-03,3373,
2009-04,3728,
2009-05,3637,
2009-06,5330,
2009-07,5889,
2009-08,7045,
2009-09,7004,
2009-10,8115,
2009-11,7433,
2009-12,7540,
2010-01,8428,
2010-02,8131,
2010-03,5935,
2010-04,6954,
2010-05,7344,
2010-06,7549,
2010-07,6978,
2010-08,7166,
2010-09,6147,
2010-10,6191,
2010-11,6385,
2010-12,5820,
2011-01,5087,
2011-02,5438,
2011-03,5558,
2011-04,5506,
2011-05,5597,
2011-06,5058,
2011-07,5642,
2011-08,4531,
2011-09,5196,
2011-10,4298,
2011-11,5254,
2011-12,4496,
2012-01,4274,
2012-02,2643,
2012-03,3005,
2012-04,5010,
2012-05,4778,
2012-06,4213,
2012-07,5121,
2012-08,5900,
2012-09,6052,
2012-10,6074,
2012-11,4905,
2012-12,4397,
2013-01,4751,
2013-02,5471,
2013-03,5027,
2013-04,4459,
2013-05,4439,
2013-06,4341,
2013-07,4201,
2013-08,3572,
2013-09,3404,
2013-10,3416,
2013-11,2791,
2013-12,3818,
2014-01,3463,
2014-02,2458,
2014-03,2845,
2014-04,3154,
2014-05,2291,
2014-06,2617,
2014-07,4279,
2014-08,4619,
2014-09,3697,
2014-10,5081,
2014-11,4830,
2014-12,3740,
2015-01,5115,
