"",BBK01.WXIF07,BBK01.WXIF07_FLAGS
"",,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:54:50,
2009-09,87,
2009-10,87,
2009-11,88,
2009-12,89,
2010-01,89,
2010-02,90,
2010-03,90,
2010-04,90,
2010-05,90,
2010-06,91,
2010-07,92,
2010-08,92,
2010-09,92,
2010-10,92,
2010-11,92,
2010-12,92,
2011-01,92,
2011-02,92,
2011-03,92,
2011-04,92,
2011-05,74,
2011-06,93,
2011-07,74,
2011-08,74,
2011-09,74,
2011-10,74,
2011-11,74,
2011-12,74,
2012-01,74,
2012-02,74,
2012-03,74,
2012-04,74,
2012-05,74,
2012-06,74,
2012-07,74,
2012-08,74,
2012-09,74,
2012-10,74,
2012-11,74,
2012-12,74,
2013-01,73,
2013-02,73,
2013-03,73,
2013-04,73,
2013-05,73,
2013-06,73,
2013-07,74,
2013-08,74,
2013-09,74,
2013-10,74,
2013-11,74,
2013-12,74,
2014-01,74,
2014-02,74,
2014-03,74,
2014-04,74,
2014-05,74,
2014-06,74,
2014-07,74,
2014-08,72,
2014-09,72,
2014-10,72,
2014-11,72,
