"",BBK01.OELJ07P,BBK01.OELJ07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:00,
2002-01,0.040,
2002-04,0.040,
2002-07,0.041,
2002-10,0.040,
2003-01,0.040,
2003-04,0.043,
2003-07,0.048,
2003-10,0.049,
2004-01,0.049,
2004-04,0.058,
2004-07,0.055,
2004-10,0.056,
2005-01,0.054,
2005-04,0.054,
2005-07,0.054,
2005-10,0.053,
2006-01,0.051,
2006-04,0.051,
2006-07,0.047,
2006-10,0.046,
2007-01,0.045,
2007-04,0.044,
2007-07,0.046,
2007-10,0.047,
2008-01,0.045,
2008-04,0.037,
2008-07,0.037,
2008-10,0.030,
2009-01,0.031,
2009-04,0.031,
2009-07,0.033,
2009-10,0.036,
2010-01,0.037,
2010-04,0.043,
2010-07,0.043,
2010-10,0.043,
2011-01,0.042,
2011-04,0.042,
2011-07,0.040,
2011-10,0.041,
2012-01,0.043,
2012-04,0.047,
2012-07,0.049,
2012-10,0.051,
2013-01,0.054,
2013-04,0.051,
2013-07,0.052,
2013-10,0.052,
2014-01,0.050,
2014-04,0.050,
2014-07,0.050,
