"",BBK01.OELM06H,BBK01.OELM06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:57,
2002-01,0.080,
2002-04,0.082,
2002-07,0.066,
2002-10,0.056,
2003-01,0.051,
2003-04,0.047,
2003-07,0.045,
2003-10,0.048,
2004-01,0.044,
2004-04,0.048,
2004-07,0.046,
2004-10,0.048,
2005-01,0.041,
2005-04,0.046,
2005-07,0.045,
2005-10,0.047,
2006-01,0.055,
2006-04,0.058,
2006-07,0.057,
2006-10,0.054,
2007-01,0.052,
2007-04,0.051,
2007-07,0.045,
2007-10,0.043,
2008-01,0.041,
2008-04,0.043,
2008-07,0.048,
2008-10,0.043,
2009-01,0.043,
2009-04,0.040,
2009-07,0.045,
2009-10,0.044,
2010-01,0.041,
2010-04,0.041,
2010-07,0.041,
2010-10,0.045,
2011-01,0.045,
2011-04,0.060,
2011-07,0.057,
2011-10,0.056,
2012-01,0.063,
2012-04,0.060,
2012-07,0.055,
2012-10,0.051,
2013-01,0.046,
2013-04,0.036,
2013-07,0.038,
2013-10,0.030,
2014-01,0.026,
2014-04,0.035,
2014-07,0.036,
