"",BBK01.OEBB22I,BBK01.OEBB22I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:56,
2002-01,0.255,
2002-04,0.061,
2002-07,0.078,
2002-10,0.100,
2003-01,0.035,
2003-04,0.036,
2003-07,0.837,
2003-10,0.110,
2004-01,1.052,
2004-04,0.046,
2004-07,0.033,
2004-10,0.031,
2005-01,0.033,
2005-04,0.040,
2005-07,0.063,
2005-10,0.057,
2006-01,0.051,
2006-04,0.159,
2006-07,0.094,
2006-10,0.110,
2007-01,0.045,
2007-04,0.048,
2007-07,0.081,
2007-10,0.094,
2008-01,0.070,
2008-04,0.164,
2008-07,0.218,
2008-10,0.120,
2009-01,0.145,
2009-04,0.137,
2009-07,0.177,
2009-10,0.250,
2010-01,0.254,
2010-04,0.263,
2010-07,0.297,
2010-10,0.252,
2011-01,0.269,
2011-04,0.203,
2011-07,0.197,
2011-10,0.247,
2012-01,0.155,
2012-04,0.179,
2012-07,0.173,
2012-10,0.248,
2013-01,0.867,
2013-04,0.941,
2013-07,0.824,
2013-10,0.820,
2014-01,1.003,
2014-04,0.931,
2014-07,0.834,
