"",BBK01.OEHB07T,BBK01.OEHB07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:22,
2002-01,0.353,
2002-04,0.345,
2002-07,0.341,
2002-10,0.331,
2003-01,0.324,
2003-04,0.328,
2003-07,0.335,
2003-10,0.342,
2004-01,0.331,
2004-04,0.364,
2004-07,0.370,
2004-10,0.381,
2005-01,0.377,
2005-04,0.338,
2005-07,0.362,
2005-10,0.357,
2006-01,0.353,
2006-04,0.340,
2006-07,0.359,
2006-10,0.348,
2007-01,0.353,
2007-04,0.357,
2007-07,0.363,
2007-10,0.330,
2008-01,0.349,
2008-04,0.324,
2008-07,0.314,
2008-10,0.310,
2009-01,0.304,
2009-04,0.325,
2009-07,0.311,
2009-10,0.311,
2010-01,0.299,
2010-04,0.307,
2010-07,0.319,
2010-10,0.287,
2011-01,0.424,
2011-04,0.484,
2011-07,0.500,
2011-10,0.570,
2012-01,0.570,
2012-04,0.601,
2012-07,0.689,
2012-10,0.655,
2013-01,0.668,
2013-04,0.684,
2013-07,0.700,
2013-10,0.714,
2014-01,0.706,
2014-04,0.690,
2014-07,0.684,
