"",BBK01.OEBL04K,BBK01.OEBL04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:21,
2002-01,1.973,
2002-04,1.933,
2002-07,1.896,
2002-10,1.884,
2003-01,1.701,
2003-04,1.589,
2003-07,1.486,
2003-10,1.390,
2004-01,1.265,
2004-04,1.222,
2004-07,1.219,
2004-10,1.306,
2005-01,1.328,
2005-04,1.254,
2005-07,1.225,
2005-10,1.390,
2006-01,1.359,
2006-04,1.444,
2006-07,1.540,
2006-10,1.726,
2007-01,1.943,
2007-04,2.033,
2007-07,2.549,
2007-10,3.081,
2008-01,3.214,
2008-04,3.486,
2008-07,3.868,
2008-10,4.057,
2009-01,2.833,
2009-04,2.495,
2009-07,2.064,
2009-10,1.716,
2010-01,1.501,
2010-04,1.474,
2010-07,1.266,
2010-10,1.335,
2011-01,1.273,
2011-04,1.361,
2011-07,1.468,
2011-10,1.684,
2012-01,1.470,
2012-04,1.423,
2012-07,1.224,
2012-10,0.952,
2013-01,0.814,
2013-04,0.861,
2013-07,0.763,
2013-10,0.765,
2014-01,0.683,
2014-04,0.695,
2014-07,0.599,
