"",BBK01.OECB03O,BBK01.OECB03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:59,
2002-01,0.441,
2002-04,0.340,
2002-07,0.328,
2002-10,0.338,
2003-01,0.325,
2003-04,0.337,
2003-07,0.331,
2003-10,0.342,
2004-01,0.342,
2004-04,0.332,
2004-07,0.356,
2004-10,0.339,
2005-01,0.374,
2005-04,0.351,
2005-07,0.340,
2005-10,0.333,
2006-01,0.325,
2006-04,0.323,
2006-07,0.348,
2006-10,0.300,
2007-01,0.303,
2007-04,0.308,
2007-07,0.306,
2007-10,0.292,
2008-01,0.334,
2008-04,0.373,
2008-07,0.366,
2008-10,0.366,
2009-01,0.453,
2009-04,0.506,
2009-07,0.523,
2009-10,0.509,
2010-01,0.510,
2010-04,0.559,
2010-07,0.599,
2010-10,0.619,
2011-01,0.546,
2011-04,0.512,
2011-07,0.512,
2011-10,0.473,
2012-01,0.456,
2012-04,0.420,
2012-07,0.414,
2012-10,0.426,
2013-01,0.415,
2013-04,0.419,
2013-07,0.429,
2013-10,0.475,
2014-01,0.571,
2014-04,0.595,
2014-07,0.586,
