"",BBSF2.M.1.P.00000.TOT01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.TOT01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Public funds / Funds total / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:50,
2009-09,798,
2009-10,888,
2009-11,925,
2009-12,624,
2010-01,731,
2010-02,771,
2010-03,878,
2010-04,1019,
2010-05,907,
2010-06,805,
2010-07,813,
2010-08,704,
2010-09,611,
2010-10,632,
2010-11,631,
2010-12,636,
2011-01,672,
2011-02,666,
2011-03,796,
2011-04,860,
2011-05,880,
2011-06,795,
2011-07,831,
2011-08,890,
2011-09,1085,
2011-10,1105,
2011-11,926,
2011-12,976,
2012-01,882,
2012-02,1014,
2012-03,919,
2012-04,1001,
2012-05,906,
2012-06,852,
2012-07,946,
2012-08,882,
2012-09,910,
2012-10,946,
2012-11,914,
2012-12,957,
2013-01,969,
2013-02,1009,
2013-03,1069,
2013-04,1229,
2013-05,1290,
2013-06,1552,
2013-07,1697,
2013-08,1620,
2013-09,1681,
2013-10,1738,
2013-11,1543,
2013-12,1453,
2014-01,1375,
2014-02,1340,
2014-03,1169,
2014-04,1070,
2014-05,1002,
2014-06,1027,
2014-07,934,
2014-08,749,
2014-09,701,
2014-10,833,
2014-11,942,
