"",BBK01.OEAC08V,BBK01.OEAC08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:25,
2002-01,0.310,
2002-04,0.266,
2002-07,0.274,
2002-10,0.251,
2003-01,0.278,
2003-04,0.271,
2003-07,0.271,
2003-10,0.265,
2004-01,0.258,
2004-04,0.285,
2004-07,0.299,
2004-10,0.334,
2005-01,0.323,
2005-04,0.342,
2005-07,0.373,
2005-10,0.397,
2006-01,0.374,
2006-04,0.343,
2006-07,0.337,
2006-10,0.339,
2007-01,0.336,
2007-04,0.334,
2007-07,0.333,
2007-10,0.352,
2008-01,0.528,
2008-04,0.386,
2008-07,0.504,
2008-10,0.630,
2009-01,0.635,
2009-04,0.952,
2009-07,0.739,
2009-10,0.819,
2010-01,0.944,
2010-04,0.924,
2010-07,0.914,
2010-10,0.889,
2011-01,0.961,
2011-04,1.094,
2011-07,1.212,
2011-10,1.143,
2012-01,1.137,
2012-04,1.133,
2012-07,1.181,
2012-10,1.253,
2013-01,1.239,
2013-04,1.179,
2013-07,1.138,
2013-10,1.176,
2014-01,1.161,
2014-04,1.194,
2014-07,1.187,
