"",BBFB1.Q.N.DE.S3.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:39,
1991-01,454.855,
1991-04,613.660,
1991-07,1106.218,
1991-10,1143.620,
1992-01,1188.872,
1992-04,864.562,
1992-07,1106.035,
1992-10,1028.317,
1993-01,1083.345,
1993-04,942.998,
1993-07,1044.176,
1993-10,1265.811,
1994-01,1423.535,
1994-04,1452.225,
1994-07,1124.022,
1994-10,1646.576,
1995-01,1385.231,
1995-04,1001.684,
1995-07,1065.213,
1995-10,1347.545,
1996-01,1288.622,
1996-04,1219.750,
1996-07,1363.466,
1996-10,1520.810,
1997-01,1359.023,
1997-04,1507.635,
1997-07,1579.825,
1997-10,1707.672,
1998-01,1602.753,
1998-04,1464.990,
1998-07,1577.079,
1998-10,1748.821,
1999-01,1777.077,
1999-04,1578.189,
1999-07,1294.209,
1999-10,1602.852,
2000-01,1437.675,
2000-04,1220.925,
2000-07,1555.148,
2000-10,1827.437,
2001-01,1940.833,
2001-04,1782.499,
2001-07,1910.318,
2001-10,2345.529,
2002-01,2275.940,
2002-04,2305.167,
2002-07,1984.720,
2002-10,2446.173,
2003-01,2171.733,
2003-04,2121.531,
2003-07,2416.902,
2003-10,1992.278,
2004-01,2386.034,
2004-04,2500.920,
2004-07,2318.346,
2004-10,2583.542,
2005-01,2823.398,
2005-04,2817.453,
2005-07,2866.843,
2005-10,2997.754,
2006-01,3059.372,
2006-04,3031.316,
2006-07,3231.277,
2006-10,4049.394,
2007-01,4084.634,
2007-04,3542.736,
2007-07,4160.994,
2007-10,3246.304,
2008-01,3845.407,
2008-04,3791.045,
2008-07,4115.110,
2008-10,6965.428,
2009-01,4569.402,
2009-04,3669.061,
2009-07,3671.510,
2009-10,4446.448,
2010-01,4237.075,
2010-04,4630.233,
2010-07,5621.749,
2010-10,5256.098,
2011-01,4348.624,
2011-04,3899.143,
2011-07,4115.181,
2011-10,6474.630,
2012-01,5325.149,
2012-04,5929.823,
2012-07,6197.653,
2012-10,6536.964,
2013-01,5494.730,
2013-04,6296.465,
2013-07,5639.650,
2013-10,7355.286,
2014-01,6337.472,Provisional value
2014-04,6768.547,Provisional value
2014-07,7533.825,Provisional value
