"",BBK01.OEAA22H,BBK01.OEAA22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:51,
2002-01,17.017,
2002-04,17.395,
2002-07,17.186,
2002-10,16.598,
2003-01,15.663,
2003-04,15.313,
2003-07,15.088,
2003-10,15.285,
2004-01,14.791,
2004-04,14.654,
2004-07,14.004,
2004-10,13.466,
2005-01,13.357,
2005-04,13.150,
2005-07,13.026,
2005-10,13.104,
2006-01,13.152,
2006-04,13.984,
2006-07,14.639,
2006-10,14.387,
2007-01,14.189,
2007-04,14.427,
2007-07,14.772,
2007-10,15.780,
2008-01,16.891,
2008-04,17.038,
2008-07,16.565,
2008-10,19.979,
2009-01,19.880,
2009-04,20.723,
2009-07,21.122,
2009-10,22.032,
2010-01,20.390,
2010-04,20.101,
2010-07,18.868,
2010-10,18.925,
2011-01,19.808,
2011-04,19.381,
2011-07,22.330,
2011-10,23.022,
2012-01,21.040,
2012-04,21.488,
2012-07,22.021,
2012-10,22.868,
2013-01,23.016,
2013-04,22.873,
2013-07,23.060,
2013-10,22.902,
2014-01,23.318,
2014-04,24.545,
2014-07,24.998,
