"",BBK01.OEAB24P,BBK01.OEAB24P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:59,
2002-01,1.257,
2002-04,1.226,
2002-07,1.226,
2002-10,1.373,
2003-01,1.420,
2003-04,1.410,
2003-07,1.429,
2003-10,1.427,
2004-01,1.433,
2004-04,1.436,
2004-07,1.524,
2004-10,1.543,
2005-01,1.667,
2005-04,1.668,
2005-07,1.706,
2005-10,1.725,
2006-01,1.646,
2006-04,1.631,
2006-07,1.624,
2006-10,1.844,
2007-01,1.839,
2007-04,1.826,
2007-07,1.847,
2007-10,1.835,
2008-01,1.830,
2008-04,1.806,
2008-07,1.803,
2008-10,1.816,
2009-01,1.823,
2009-04,1.786,
2009-07,1.749,
2009-10,1.787,
2010-01,1.808,
2010-04,1.938,
2010-07,2.006,
2010-10,2.127,
2011-01,2.148,
2011-04,2.082,
2011-07,1.975,
2011-10,2.182,
2012-01,2.224,
2012-04,2.282,
2012-07,2.238,
2012-10,2.304,
2013-01,2.272,
2013-04,2.279,
2013-07,2.285,
2013-10,2.330,
2014-01,2.348,
2014-04,2.131,
2014-07,2.175,
