"",BBK01.OELI02P,BBK01.OELI02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:35,
2002-01,1.535,
2002-04,1.576,
2002-07,1.563,
2002-10,1.624,
2003-01,1.627,
2003-04,1.724,
2003-07,1.688,
2003-10,1.740,
2004-01,1.782,
2004-04,1.790,
2004-07,1.814,
2004-10,1.879,
2005-01,1.867,
2005-04,1.899,
2005-07,2.010,
2005-10,2.018,
2006-01,2.012,
2006-04,1.983,
2006-07,1.994,
2006-10,2.066,
2007-01,2.031,
2007-04,2.064,
2007-07,2.016,
2007-10,2.125,
2008-01,2.014,
2008-04,2.004,
2008-07,2.065,
2008-10,2.181,
2009-01,2.354,
2009-04,2.602,
2009-07,2.761,
2009-10,3.000,
2010-01,3.048,
2010-04,3.240,
2010-07,3.300,
2010-10,3.517,
2011-01,3.475,
2011-04,3.562,
2011-07,3.666,
2011-10,3.927,
2012-01,3.927,
2012-04,4.235,
2012-07,4.547,
2012-10,4.667,
2013-01,4.486,
2013-04,4.571,
2013-07,4.533,
2013-10,4.729,
2014-01,4.653,
2014-04,4.668,
2014-07,4.687,
