"",BBK01.CEFK09,BBK01.CEFK09_FLAGS
"",Other equity                                            debtor: Total           creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:23,
1999-01,0.0,
1999-04,0.3,
1999-07,0.6,
1999-10,1.0,
2000-01,1.4,
2000-04,1.6,
2000-07,2.3,
2000-10,2.6,
2001-01,2.8,
2001-04,3.0,
2001-07,3.1,
2001-10,3.4,
2002-01,3.9,
2002-04,4.1,
2002-07,4.3,
2002-10,4.9,
2003-01,5.2,
2003-04,5.6,
2003-07,5.8,
2003-10,6.7,
2004-01,6.4,
2004-04,7.2,
2004-07,8.1,
2004-10,8.2,
2005-01,8.2,
2005-04,9.4,
2005-07,9.9,
2005-10,10.9,
2006-01,10.8,
2006-04,10.9,
2006-07,10.8,
2006-10,11.5,
2007-01,12.2,
2007-04,13.7,
2007-07,14.4,
2007-10,15.5,
2008-01,18.3,
2008-04,19.6,
2008-07,21.5,
2008-10,22.4,
2009-01,23.0,
2009-04,23.5,
2009-07,24.0,
2009-10,25.0,
2010-01,25.8,
2010-04,26.2,
2010-07,25.3,
2010-10,26.0,
2011-01,25.7,
2011-04,25.4,
2011-07,25.7,
2011-10,26.0,
2012-01,25.9,
2012-04,25.3,
2012-07,24.9,
2012-10,24.6,
2013-01,24.9,
2013-04,24.8,
2013-07,24.5,
2013-10,24.8,
2014-01,25.2,
2014-04,25.1,
2014-07,25.8,
