"",BBK01.CEHBQC,BBK01.CEHBQC_FLAGS
"",Long-term debt securities debtor: All sectors                    creditor: General government  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:55,
1991-01,-0.3,
1991-04,0.2,
1991-07,-0.3,
1991-10,-0.1,
1992-01,0.2,
1992-04,0.3,
1992-07,-0.3,
1992-10,-0.5,
1993-01,0.0,
1993-04,0.1,
1993-07,0.3,
1993-10,-0.2,
1994-01,0.7,
1994-04,0.4,
1994-07,0.3,
1994-10,0.6,
1995-01,0.2,
1995-04,-0.3,
1995-07,-0.1,
1995-10,0.4,
1996-01,-1.3,
1996-04,-0.5,
1996-07,-0.3,
1996-10,0.6,
1997-01,-1.0,
1997-04,-0.1,
1997-07,-0.1,
1997-10,0.0,
1998-01,1.2,
1998-04,-0.4,
1998-07,0.0,
1998-10,1.4,
1999-01,-0.3,
1999-04,-0.2,
1999-07,-0.2,
1999-10,-1.5,
2000-01,0.8,
2000-04,3.3,
2000-07,-0.3,
2000-10,-0.5,
2001-01,-0.1,
2001-04,-0.3,
2001-07,-0.2,
2001-10,-0.8,
2002-01,-0.5,
2002-04,-0.2,
2002-07,-0.8,
2002-10,1.8,
2003-01,0.3,
2003-04,0.1,
2003-07,-0.3,
2003-10,1.6,
2004-01,0.2,
2004-04,0.0,
2004-07,0.6,
2004-10,0.5,
2005-01,0.6,
2005-04,0.0,
2005-07,0.1,
2005-10,-0.5,
2006-01,-0.8,
2006-04,0.4,
2006-07,0.2,
2006-10,-0.4,
2007-01,0.3,
2007-04,0.4,
2007-07,0.4,
2007-10,0.1,
2008-01,16.2,
2008-04,23.1,
2008-07,0.8,
2008-10,0.1,
2009-01,-2.1,
2009-04,0.6,
2009-07,2.4,
2009-10,1.9,
2010-01,-0.3,
2010-04,6.5,
2010-07,-2.0,
2010-10,96.7,
2011-01,-8.9,
2011-04,-3.0,
2011-07,0.7,
2011-10,1.1,
2012-01,-5.0,
2012-04,0.6,
2012-07,-4.0,
2012-10,-2.7,
2013-01,-2.8,
2013-04,-2.6,
2013-07,-4.1,
2013-10,-1.4,
2014-01,-1.7,
