"",BBK01.OECB02Q,BBK01.OECB02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:24,
2002-01,1.433,
2002-04,1.460,
2002-07,1.464,
2002-10,1.334,
2003-01,1.137,
2003-04,1.155,
2003-07,1.189,
2003-10,1.094,
2004-01,0.972,
2004-04,0.911,
2004-07,0.930,
2004-10,1.557,
2005-01,1.550,
2005-04,1.479,
2005-07,1.490,
2005-10,1.286,
2006-01,1.299,
2006-04,1.256,
2006-07,1.238,
2006-10,1.253,
2007-01,1.180,
2007-04,1.215,
2007-07,1.225,
2007-10,1.183,
2008-01,1.165,
2008-04,1.182,
2008-07,1.180,
2008-10,1.092,
2009-01,1.100,
2009-04,0.980,
2009-07,0.923,
2009-10,0.825,
2010-01,0.892,
2010-04,0.882,
2010-07,0.946,
2010-10,0.887,
2011-01,0.913,
2011-04,0.928,
2011-07,0.988,
2011-10,0.857,
2012-01,0.917,
2012-04,0.914,
2012-07,0.927,
2012-10,0.876,
2013-01,1.048,
2013-04,1.023,
2013-07,1.082,
2013-10,0.886,
2014-01,0.954,
2014-04,1.135,
2014-07,1.174,
