"",BBK01.OELB23P,BBK01.OELB23P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:52,
2002-01,0.016,
2002-04,0.015,
2002-07,0.012,
2002-10,0.012,
2003-01,0.017,
2003-04,0.019,
2003-07,0.019,
2003-10,0.021,
2004-01,0.014,
2004-04,0.017,
2004-07,0.019,
2004-10,0.021,
2005-01,0.015,
2005-04,0.003,
2005-07,0.005,
2005-10,0.004,
2006-01,0.004,
2006-04,0.004,
2006-07,0.003,
2006-10,0.004,
2007-01,0.004,
2007-04,0.007,
2007-07,0.006,
2007-10,0.005,
2008-01,0.008,
2008-04,0.016,
2008-07,0.016,
2008-10,0.016,
2009-01,0.017,
2009-04,0.028,
2009-07,0.032,
2009-10,0.050,
2010-01,0.048,
2010-04,0.061,
2010-07,0.062,
2010-10,0.055,
2011-01,0.072,
2011-04,0.072,
2011-07,0.078,
2011-10,0.083,
2012-01,0.085,
2012-04,0.077,
2012-07,0.075,
2012-10,0.075,
2013-01,0.069,
2013-04,0.071,
2013-07,0.065,
2013-10,0.039,
2014-01,0.056,
2014-04,0.054,
2014-07,0.056,
