"",BBK01.CEFBC0,BBK01.CEFBC0_FLAGS
"",long-term debt securities                         debtor: General government                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:43,
1999-01,744.3,
1999-04,735.4,
1999-07,725.8,
1999-10,730.6,
2000-01,734.7,
2000-04,740.1,
2000-07,739.8,
2000-10,764.7,
2001-01,752.6,
2001-04,748.1,
2001-07,766.1,
2001-10,783.5,
2002-01,786.9,
2002-04,809.4,
2002-07,849.4,
2002-10,855.7,
2003-01,901.5,
2003-04,926.9,
2003-07,906.1,
2003-10,916.1,
2004-01,966.4,
2004-04,961.7,
2004-07,989.8,
2004-10,1014.7,
2005-01,1025.6,
2005-04,1075.4,
2005-07,1091.4,
2005-10,1091.2,
2006-01,1085.2,
2006-04,1085.5,
2006-07,1106.8,
2006-10,1115.3,
2007-01,1102.3,
2007-04,1088.0,
2007-07,1089.9,
2007-10,1115.5,
2008-01,1128.8,
2008-04,1120.8,
2008-07,1144.6,
2008-10,1212.6,
2009-01,1221.3,
2009-04,1236.2,
2009-07,1239.7,
2009-10,1264.5,
2010-01,1310.6,
2010-04,1373.4,
2010-07,1412.5,
2010-10,1399.3,
2011-01,1379.9,
2011-04,1423.4,
2011-07,1505.5,
2011-10,1496.1,
2012-01,1541.2,
2012-04,1604.1,
2012-07,1613.0,
2012-10,1636.1,
2013-01,1637.4,
2013-04,1609.6,
2013-07,1581.2,
2013-10,1599.6,
2014-01,1632.3,
2014-04,1665.2,
2014-07,1696.3,
