"",BBK01.CELR05,BBK01.CELR05_FLAGS
"",long-term time deposits                                      debtor: Total            creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:11,
1999-01,-1.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.1,
2000-10,0.1,
2001-01,0.0,
2001-04,0.0,
2001-07,0.0,
2001-10,0.5,
2002-01,0.0,
2002-04,0.0,
2002-07,0.0,
2002-10,0.0,
2003-01,0.0,
2003-04,0.1,
2003-07,0.1,
2003-10,0.0,
2004-01,0.0,
2004-04,0.0,
2004-07,0.1,
2004-10,-0.1,
2005-01,0.2,
2005-04,0.0,
2005-07,-0.3,
2005-10,0.2,
2006-01,0.2,
2006-04,0.2,
2006-07,3.5,
2006-10,4.0,
2007-01,4.9,
2007-04,6.5,
2007-07,7.0,
2007-10,12.7,
2008-01,2.4,
2008-04,1.3,
2008-07,5.8,
2008-10,26.5,
2009-01,3.9,
2009-04,7.2,
2009-07,7.9,
2009-10,1.0,
2010-01,4.3,
2010-04,3.1,
2010-07,8.0,
2010-10,5.7,
2011-01,-13.6,
2011-04,-6.4,
2011-07,-8.1,
2011-10,-24.5,
2012-01,-4.3,
2012-04,-8.3,
2012-07,-3.1,
2012-10,-4.7,
2013-01,-11.7,
2013-04,-2.1,
2013-07,0.0,
2013-10,0.0,
2014-01,-0.4,
2014-04,1.3,
2014-07,0.7,
