"",BBK01.OELI09H,BBK01.OELI09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:16,
2002-01,5.882,
2002-04,5.820,
2002-07,5.695,
2002-10,5.466,
2003-01,5.070,
2003-04,4.726,
2003-07,4.413,
2003-10,4.591,
2004-01,4.470,
2004-04,4.514,
2004-07,4.712,
2004-10,5.188,
2005-01,5.518,
2005-04,5.611,
2005-07,5.445,
2005-10,5.164,
2006-01,4.970,
2006-04,4.930,
2006-07,5.059,
2006-10,5.038,
2007-01,4.959,
2007-04,4.759,
2007-07,4.657,
2007-10,4.641,
2008-01,4.430,
2008-04,3.959,
2008-07,3.612,
2008-10,3.627,
2009-01,4.276,
2009-04,5.143,
2009-07,5.971,
2009-10,7.026,
2010-01,7.230,
2010-04,6.935,
2010-07,6.304,
2010-10,5.782,
2011-01,5.425,
2011-04,5.711,
2011-07,5.942,
2011-10,5.983,
2012-01,5.766,
2012-04,5.493,
2012-07,5.307,
2012-10,5.396,
2013-01,5.445,
2013-04,5.323,
2013-07,4.993,
2013-10,5.373,
2014-01,5.609,
2014-04,5.737,
2014-07,5.831,
