"",BBK01.OEAA50N,BBK01.OEAA50N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:22,
2002-01,6.924,
2002-04,5.833,
2002-07,6.044,
2002-10,4.867,
2003-01,5.595,
2003-04,5.705,
2003-07,3.789,
2003-10,3.580,
2004-01,3.174,
2004-04,4.027,
2004-07,3.018,
2004-10,3.482,
2005-01,3.428,
2005-04,3.676,
2005-07,4.642,
2005-10,5.628,
2006-01,5.896,
2006-04,11.167,
2006-07,14.510,
2006-10,18.235,
2007-01,13.646,
2007-04,17.222,
2007-07,18.373,
2007-10,21.114,
2008-01,13.514,
2008-04,16.237,
2008-07,20.117,
2008-10,19.773,
2009-01,15.880,
2009-04,14.430,
2009-07,13.692,
2009-10,14.846,
2010-01,15.663,
2010-04,17.257,
2010-07,13.783,
2010-10,12.257,
2011-01,9.033,
2011-04,10.055,
2011-07,9.947,
2011-10,11.298,
2012-01,10.388,
2012-04,5.819,
2012-07,7.161,
2012-10,5.664,
2013-01,6.854,
2013-04,6.739,
2013-07,6.371,
2013-10,6.755,
2014-01,6.775,
2014-04,6.946,
2014-07,6.714,
