"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D.F._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D.F._Z._T._X.N_FLAGS
"",IIP - Direct investment - Liabilities - Positions - all countries - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:35,
1999-10,336429,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,564772,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,558381,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,621413,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,653626,
2004-01,630782,
2004-04,638417,
2004-07,637424,
2004-10,651260,
2005-01,651445,
2005-04,657169,
2005-07,665468,
2005-10,689294,
2006-01,701698,
2006-04,711212,
2006-07,723651,
2006-10,782005,
2007-01,798095,
2007-04,816631,
2007-07,836047,
2007-10,847049,
2008-01,830466,
2008-04,834632,
2008-07,834973,
2008-10,817150,
2009-01,828711,
2009-04,840834,
2009-07,847460,
2009-10,841576,
2010-01,846996,
2010-04,857277,
2010-07,875162,
2010-10,905941,
2011-01,912523,
2011-04,931839,
2011-07,953011,
2011-10,967634,
2012-01,968516,
2012-04,989674,
2012-07,998594,
2012-10,1087549,
2013-01,1097806,
2013-04,1116427,
2013-07,1117231,
2013-10,1129400,
2014-01,1132470,
2014-04,1146093,
2014-07,1149543,
