"",BBK01.CEH20X,BBK01.CEH20X_FLAGS
"",Currency and deposits debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:52,
1991-01,4.2,
1991-04,-1.6,
1991-07,-4.7,
1991-10,0.1,
1992-01,1.7,
1992-04,-2.4,
1992-07,1.9,
1992-10,-0.6,
1993-01,5.2,
1993-04,0.6,
1993-07,2.6,
1993-10,1.8,
1994-01,2.2,
1994-04,-0.8,
1994-07,4.0,
1994-10,-5.9,
1995-01,6.3,
1995-04,1.1,
1995-07,-2.4,
1995-10,-3.3,
1996-01,11.8,
1996-04,1.5,
1996-07,-0.3,
1996-10,-5.7,
1997-01,11.0,
1997-04,-0.7,
1997-07,-1.9,
1997-10,-1.0,
1998-01,11.1,
1998-04,2.4,
1998-07,7.9,
1998-10,-6.1,
1999-01,-5.6,
1999-04,-1.8,
1999-07,3.1,
1999-10,-3.8,
2000-01,12.0,
2000-04,-7.1,
2000-07,4.2,
2000-10,-1.1,
2001-01,8.7,
2001-04,-1.9,
2001-07,10.0,
2001-10,-1.3,
2002-01,10.8,
2002-04,8.0,
2002-07,3.6,
2002-10,-20.7,
2003-01,20.0,
2003-04,11.9,
2003-07,9.5,
2003-10,-15.3,
2004-01,11.8,
2004-04,-8.9,
2004-07,0.2,
2004-10,-9.1,
2005-01,27.1,
2005-04,-6.7,
2005-07,16.5,
2005-10,-21.4,
2006-01,32.3,
2006-04,0.9,
2006-07,11.6,
2006-10,-19.3,
2007-01,40.9,
2007-04,6.8,
2007-07,16.1,
2007-10,0.8,
2008-01,58.9,
2008-04,-0.7,
2008-07,28.9,
2008-10,16.0,
2009-01,44.1,
2009-04,-12.4,
2009-07,-19.9,
2009-10,1.0,
2010-01,-9.8,
2010-04,43.7,
2010-07,3.2,
2010-10,-16.5,
2011-01,6.6,
2011-04,45.0,
2011-07,63.8,
2011-10,-65.1,
2012-01,4.9,
2012-04,38.9,
2012-07,-5.5,
2012-10,-57.6,
2013-01,53.3,
2013-04,36.9,
2013-07,-60.8,
2013-10,-8.4,
2014-01,27.2,
