"",BBK01.QUF822,BBK01.QUF822_FLAGS
"","All foreign subsidiaries: Claims on non-residents, total / Cyprus / US Dollars",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:48,
2004-12,0.039,
2005-01,0.032,
2005-02,0.023,
2005-03,0.040,
2005-04,0.047,
2005-05,0.116,
2005-06,0.117,
2005-07,0.121,
2005-08,0.131,
2005-09,0.143,
2005-10,0.135,
2005-11,0.125,
2005-12,0.168,
2006-01,0.087,
2006-02,0.089,
2006-03,0.109,
2006-04,0.128,
2006-05,0.167,
2006-06,0.232,
2006-07,0.209,
2006-08,0.296,
2006-09,0.272,
2006-10,0.363,
2006-11,0.263,
2006-12,0.249,
2007-01,0.100,
2007-02,0.094,
2007-03,0.096,
2007-04,0.123,
2007-05,0.074,
2007-06,0.126,
2007-07,0.139,
2007-08,0.159,
2007-09,0.155,
2007-10,0.189,
2007-11,0.157,
2007-12,0.181,
2008-01,0.230,
2008-02,0.518,
2008-03,0.473,
2008-04,0.471,
2008-05,0.476,
2008-06,0.499,
2008-07,0.426,
2008-08,0.506,
2008-09,0.451,
2008-10,0.424,
2008-11,0.433,
2008-12,0.400,
2009-01,0.455,
2009-02,0.451,
2009-03,0.355,
2009-04,0.374,
2009-05,0.351,
2009-06,0.331,
2009-07,0.284,
2009-08,0.285,
2009-09,0.275,
2009-10,0.278,
2009-11,0.281,
2009-12,0.232,
2010-01,0.139,
2010-02,0.140,
2010-03,0.131,
2010-04,0.137,
2010-05,0.160,
2010-06,0.158,
2010-07,0.102,
2010-08,0.133,
2010-09,0.120,
2010-10,0.117,
2010-11,0.131,
2010-12,0.117,
2011-01,0.114,
2011-02,0.115,
2011-03,0.102,
2011-04,0.105,
2011-05,0.112,
2011-06,0.098,
2011-07,0.110,
2011-08,0.097,
2011-09,0.113,
2011-10,0.108,
2011-11,0.131,
2011-12,0.144,
2012-01,0.154,
2012-02,0.149,
2012-03,0.138,
2012-04,0.144,
2012-05,0.174,
2012-06,0.160,
2012-07,0.162,
2012-08,0.158,
2012-09,0.153,
2012-10,0.156,
2012-11,0.159,
2012-12,0.111,
2013-01,0.105,
2013-02,0.161,
2013-03,0.091,
2013-04,0.143,
2013-05,0.142,
2013-06,0.144,
2013-07,0.142,
2013-08,0.141,
2013-09,0.104,
2013-10,0.102,
2013-11,0.108,
2013-12,0.116,
2014-01,0.120,
2014-02,0.121,
2014-03,0.121,
2014-04,0.120,
2014-05,0.123,
2014-06,0.100,
2014-07,0.098,
2014-08,0.102,
2014-09,0.106,
2014-10,0.107,
2014-11,0.106,
