"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:18,
1968-12,0.307,
1969-01,0.380,
1969-02,0.345,
1969-03,0.323,
1969-04,0.314,
1969-05,0.375,
1969-06,0.285,
1969-07,0.354,
1969-08,0.327,
1969-09,0.261,
1969-10,0.352,
1969-11,0.370,
1969-12,0.350,
1970-01,0.425,
1970-02,0.410,
1970-03,0.401,
1970-04,0.388,
1970-05,0.315,
1970-06,0.442,
1970-07,0.332,
1970-08,0.366,
1970-09,0.310,
1970-10,0.355,
1970-11,0.388,
1970-12,0.332,
1971-01,0.365,
1971-02,0.381,
1971-03,0.354,
1971-04,0.443,
1971-05,0.422,
1971-06,0.392,
1971-07,0.434,
1971-08,0.496,
1971-09,0.424,
1971-10,0.296,
1971-11,0.365,
1971-12,0.316,
1972-01,0.367,
1972-02,0.330,
1972-03,0.322,
1972-04,0.344,
1972-05,0.287,
1972-06,0.276,
1972-07,0.287,
1972-08,0.269,
1972-09,0.247,
1972-10,0.252,
1972-11,0.252,
1972-12,0.265,
1973-01,0.267,
1973-02,0.243,
1973-03,0.222,
1973-04,0.247,
1973-05,0.250,
1973-06,0.258,
1973-07,0.242,
1973-08,0.253,
1973-09,0.243,
1973-10,0.212,
1973-11,0.218,
1973-12,0.260,
1974-01,0.311,
1974-02,0.386,
1974-03,0.518,
1974-04,0.416,
1974-05,0.482,
1974-06,0.552,
1974-07,0.604,
1974-08,0.570,
1974-09,0.569,
1974-10,0.682,
1974-11,0.561,
1974-12,0.600,
1975-01,0.602,
1975-02,0.588,
1975-03,0.636,
1975-04,0.597,
1975-05,0.626,
1975-06,0.600,
1975-07,0.612,
1975-08,0.632,
1975-09,0.722,
1975-10,0.713,
1975-11,0.736,
1975-12,0.600,
1976-01,0.628,
1976-02,0.670,
1976-03,0.786,
1976-04,0.749,
1976-05,0.987,
1976-06,1.420,
1976-07,1.643,
1976-08,1.370,
1976-09,1.214,
1976-10,1.088,
1976-11,1.232,
1976-12,1.096,
1977-01,1.294,
1977-02,1.501,
1977-03,1.667,
1977-04,1.738,
1977-05,1.983,
1977-06,1.641,
1977-07,1.532,
1977-08,1.479,
1977-09,1.302,
1977-10,1.307,
1977-11,1.251,
1977-12,1.252,
1978-01,1.185,
1978-02,1.221,
1978-03,1.471,
1978-04,1.258,
1978-05,1.604,
1978-06,1.473,
1978-07,1.401,
1978-08,1.053,
1978-09,1.211,
1978-10,1.412,
1978-11,1.291,
1978-12,1.054,
1979-01,1.240,
1979-02,1.051,
1979-03,1.626,
1979-04,1.667,
1979-05,2.198,
1979-06,1.814,
1979-07,1.748,
1979-08,1.907,
1979-09,1.513,
1979-10,1.316,
1979-11,1.328,
1979-12,1.017,
1980-01,1.256,
1980-02,1.251,
1980-03,1.490,
1980-04,1.652,
1980-05,1.897,
1980-06,1.595,
1980-07,1.696,
1980-08,1.648,
1980-09,1.531,
1980-10,1.704,
1980-11,1.862,
1980-12,2.199,
1981-01,2.361,
1981-02,2.990,
1981-03,2.998,
1981-04,3.181,
1981-05,3.502,
1981-06,3.162,
1981-07,3.204,
1981-08,2.846,
1981-09,2.752,
1981-10,3.169,
1981-11,2.890,
1981-12,2.590,
1982-01,3.194,
1982-02,3.329,
1982-03,3.613,
1982-04,3.631,
1982-05,3.445,
1982-06,3.336,
1982-07,3.106,
1982-08,2.835,
1982-09,2.605,
1982-10,2.602,
1982-11,2.843,
1982-12,2.760,
1983-01,2.862,
1983-02,2.865,
1983-03,2.999,
1983-04,2.983,
1983-05,3.148,
1983-06,3.310,
1983-07,3.044,
1983-08,3.135,
1983-09,2.890,
1983-10,3.078,
1983-11,2.755,
1983-12,2.584,
1984-01,3.660,
1984-02,4.212,
1984-03,4.813,
1984-04,4.652,
1984-05,5.392,
1984-06,4.181,
1984-07,4.367,
1984-08,4.361,
1984-09,4.019,
1984-10,4.428,
1984-11,4.745,
1984-12,3.982,
1985-01,5.379,
1985-02,5.648,
1985-03,6.565,
1985-04,7.190,
1985-05,7.394,
1985-06,7.379,
1985-07,7.570,
1985-08,7.170,
1985-09,6.631,
1985-10,8.667,
1985-11,7.617,
1985-12,6.250,
1986-01,10.242,
1986-02,10.660,
1986-03,14.678,
1986-04,18.243,
1986-05,19.036,
1986-06,17.529,
1986-07,19.505,
1986-08,19.374,
1986-09,18.459,
1986-10,21.963,
1986-11,21.532,
1986-12,19.090,
1987-01,21.781,
1987-02,21.171,
1987-03,21.401,
1987-04,22.944,
1987-05,22.179,
1987-06,21.855,
1987-07,24.603,
1987-08,24.272,
1987-09,23.389,
1987-10,25.871,
1987-11,24.263,
1987-12,21.579,
1988-01,24.986,
1988-02,24.515,
1988-03,26.536,
1988-04,27.354,
1988-05,28.529,
1988-06,26.844,
1988-07,26.824,
1988-08,27.223,
1988-09,26.068,
1988-10,26.629,
1988-11,25.118,
1988-12,22.720,
1989-01,29.173,
1989-02,30.091,
1989-03,31.244,
1989-04,33.411,
1989-05,34.884,
1989-06,34.001,
1989-07,33.966,
1989-08,34.666,
1989-09,33.177,
1989-10,37.631,
1989-11,38.449,
1989-12,33.104,
1990-01,38.975,
1990-02,41.188,
1990-03,43.101,
1990-04,44.243,
1990-05,44.254,
1990-06,43.254,
1990-07,44.744,
1990-08,44.433,
1990-09,44.336,
1990-10,46.467,
1990-11,44.992,
1990-12,42.201,
1991-01,46.776,
1991-02,47.535,
1991-03,49.888,
1991-04,52.373,
1991-05,52.641,
1991-06,50.086,
1991-07,52.095,
1991-08,49.372,
1991-09,46.422,
1991-10,51.684,
1991-11,50.526,
1991-12,44.803,
1992-01,49.775,
1992-02,51.603,
1992-03,51.531,
1992-04,53.052,
1992-05,52.724,
1992-06,52.852,
1992-07,52.292,
1992-08,49.997,
1992-09,48.625,
1992-10,55.455,
1992-11,55.396,
1992-12,51.255,
1993-01,58.827,
1993-02,61.858,
1993-03,62.681,
1993-04,66.266,
1993-05,64.578,
1993-06,63.556,
1993-07,68.608,
1993-08,65.153,
1993-09,67.053,
1993-10,77.985,
1993-11,78.655,
1993-12,71.687,
1994-01,80.739,
1994-02,75.302,
1994-03,79.168,
1994-04,78.351,
1994-05,77.934,
1994-06,75.575,
1994-07,79.243,
1994-08,79.106,
1994-09,79.876,
1994-10,85.460,
1994-11,87.762,
1994-12,82.355,
1995-01,88.296,
1995-02,87.424,
1995-03,87.941,
1995-04,90.024,
1995-05,91.056,
1995-06,90.075,
1995-07,91.413,
1995-08,86.842,
1995-09,86.188,
1995-10,87.927,
1995-11,84.815,
1995-12,74.693,
1996-01,81.061,
1996-02,80.558,
1996-03,84.312,
1996-04,88.307,
1996-05,90.163,
1996-06,85.141,
1996-07,83.842,
1996-08,82.416,
1996-09,80.704,
1996-10,83.087,
1996-11,85.380,
1996-12,76.234,
1997-01,85.775,
1997-02,90.886,
1997-03,91.489,
1997-04,93.203,
1997-05,90.190,
1997-06,85.424,
1997-07,86.847,
1997-08,80.622,
1997-09,79.342,
1997-10,81.201,
1997-11,78.255,
1997-12,68.830,
1998-01,82.882,
1998-02,84.840,
1998-03,87.560,
1998-04,91.736,
1998-05,90.314,
1998-06,84.157,
1998-07,86.171,
1998-08,82.784,
1998-09,85.387,
1998-10,88.751,
1998-11,82.809,
1998-12,68.808,
1999-01,63.261,
1999-02,65.002,
1999-03,63.214,
1999-04,64.156,
1999-05,62.269,
1999-06,62.077,
1999-07,63.588,
1999-08,61.270,
1999-09,61.198,
1999-10,58.532,
1999-11,57.498,
1999-12,48.251,
2000-01,53.391,
2000-02,58.341,
2000-03,66.784,
2000-04,64.863,
2000-05,58.232,
2000-06,54.587,
2000-07,60.968,
2000-08,69.116,
2000-09,51.621,
2000-10,53.452,
2000-11,49.484,
2000-12,39.810,
2001-01,51.989,
2001-02,58.767,
2001-03,56.925,
2001-04,56.042,
2001-05,55.072,
2001-06,53.616,
2001-07,64.631,
2001-08,58.951,
2001-09,57.849,
2001-10,60.154,
2001-11,61.922,
2001-12,57.525,
2002-01,73.143,
2002-02,71.153,
2002-03,69.777,
2002-04,80.754,
2002-05,84.718,
2002-06,71.187,
2002-07,73.855,
2002-08,75.700,
2002-09,76.881,
2002-10,76.632,
2002-11,73.531,
2002-12,58.666,
2003-01,73.088,
2003-02,76.885,
2003-03,77.974,
2003-04,88.946,
2003-05,91.104,
2003-06,87.136,
2003-07,93.441,
2003-08,86.790,
2003-09,87.624,
2003-10,89.802,
2003-11,84.483,
2003-12,78.717,
2004-01,89.347,
2004-02,91.927,
2004-03,92.555,
2004-04,89.613,
2004-05,84.464,
2004-06,86.830,
2004-07,89.185,
2004-08,86.734,
2004-09,88.558,
2004-10,88.245,
2004-11,86.361,
2004-12,86.698,
2005-01,92.087,
2005-02,90.413,
2005-03,98.217,
2005-04,90.885,
2005-05,91.838,
2005-06,83.280,
2005-07,86.729,
2005-08,86.958,
2005-09,94.108,
2005-10,95.977,
2005-11,92.937,
2005-12,81.229,
2006-01,87.776,
2006-02,89.990,
2006-03,92.520,
2006-04,88.702,
2006-05,89.954,
2006-06,86.676,
2006-07,81.383,
2006-08,86.856,
2006-09,89.996,
2006-10,90.133,
2006-11,93.655,
2006-12,80.633,
2007-01,89.337,
2007-02,99.473,
2007-03,99.618,
2007-04,93.978,
2007-05,88.505,
2007-06,92.069,
2007-07,92.701,
2007-08,91.344,
2007-09,85.870,
2007-10,98.912,
2007-11,97.817,
2007-12,82.924,
2008-01,99.768,
2008-02,91.612,
2008-03,99.011,
2008-04,92.863,
2008-05,88.124,
2008-06,81.515,
2008-07,83.287,
2008-08,83.015,
2008-09,88.523,
2008-10,81.575,
2008-11,76.501,
2008-12,78.534,
2009-01,85.865,
2009-02,85.971,
2009-03,102.715,
2009-04,101.450,
2009-05,94.758,
2009-06,102.303,
2009-07,95.391,
2009-08,94.151,
2009-09,98.706,
2009-10,99.752,
2009-11,96.464,
2009-12,101.750,
2010-01,94.353,
2010-02,97.396,
2010-03,99.682,
2010-04,106.027,
2010-05,102.430,
2010-06,98.943,
2010-07,104.664,
2010-08,105.050,
2010-09,107.510,
2010-10,110.279,
2010-11,109.253,
2010-12,96.726,
2011-01,111.823,
2011-02,108.200,
2011-03,101.956,
2011-04,101.634,
2011-05,108.430,
2011-06,114.176,
2011-07,120.333,
2011-08,137.489,
2011-09,138.982,
2011-10,150.846,
2011-11,151.395,
2011-12,121.417,
2012-01,140.003,
2012-02,145.247,
2012-03,146.398,
2012-04,151.403,
2012-05,161.288,
2012-06,174.235,
2012-07,172.487,
2012-08,159.437,
2012-09,173.199,
2012-10,163.283,
2012-11,167.350,
2012-12,149.442,
2013-01,172.657,
2013-02,176.719,
2013-03,174.819,
2013-04,172.698,
2013-05,169.762,
2013-06,177.730,
2013-07,165.038,
2013-08,150.325,
2013-09,153.676,
2013-10,162.217,
2013-11,159.923,
2013-12,147.763,
2014-01,155.033,
2014-02,155.336,
2014-03,173.841,
2014-04,164.578,
2014-05,181.262,
2014-06,171.277,
2014-07,162.268,
2014-08,166.212,
2014-09,169.198,
2014-10,162.312,
2014-11,167.075,
2014-12,136.978,
"","General: From reporting month January 1999, in euro.",
