"",BBSF2.M.1.S.00000.AKT01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:33,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,117633,
1993-05,127462,
1993-06,127607,
1993-07,126595,
1993-08,128873,
1993-09,130678,
1993-10,137115,
1993-11,139689,
1993-12,145906,
1994-01,151085,
1994-02,150407,
1994-03,154718,
1994-04,162198,
1994-05,162031,
1994-06,161684,
1994-07,164815,
1994-08,165456,
1994-09,167680,
1994-10,169622,
1994-11,170072,
1994-12,175975,
1995-01,177940,
1995-02,180234,
1995-03,181238,
1995-04,183269,
1995-05,184060,
1995-06,184497,
1995-07,184486,
1995-08,185415,
1995-09,184628,
1995-10,185145,
1995-11,185695,
1995-12,195379,
1996-01,205260,
1996-02,206307,
1996-03,208321,
1996-04,210494,
1996-05,212431,
1996-06,214282,
1996-07,219250,
1996-08,218881,
1996-09,220188,
1996-10,224012,
1996-11,228783,
1996-12,252383,
1997-01,263941,
1997-02,272141,
1997-03,276922,
1997-04,278889,
1997-05,285437,
1997-06,296267,
1997-07,303222,
1997-08,308679,
1997-09,325444,
1997-10,355749,
1997-11,360358,
1997-12,373024,
1998-01,381980,
1998-02,381715,
1998-03,395898,
1998-04,401278,
1998-05,408780,
1998-06,414739,
1998-07,424395,
1998-08,432738,
1998-09,438571,
1998-10,442936,
1998-11,456850,
1998-12,469710,
1999-01,492460,
1999-02,499230,
1999-03,497706,
1999-04,512470,
1999-05,518599,
1999-06,514685,
1999-07,515787,
1999-08,521082,
1999-09,520161,
1999-10,524252,
1999-11,532281,
1999-12,546377,
2000-01,548562,
2000-02,568768,
2000-03,571122,
2000-04,585059,
2000-05,598806,
2000-06,598306,
2000-07,605648,
2000-08,605010,
2000-09,611717,
2000-10,610316,
2000-11,614813,
2000-12,647993,
2001-01,655271,
2001-02,642393,
2001-03,644769,
2001-04,662462,
2001-05,668759,
2001-06,679198,
2001-07,687285,
2001-08,691533,
2001-09,698933,
2001-10,697852,
2001-11,703003,
2001-12,732903,
2002-01,756955,
2002-02,755406,
2002-03,757694,
2002-04,772598,
2002-05,775224,
2002-06,772157,
2002-07,777944,
2002-08,787164,
2002-09,791385,
2002-10,845657,
2002-11,850775,
2002-12,888616,
2003-01,850345,
2003-02,851019,
2003-03,850271,
2003-04,850715,
2003-05,851739,
2003-06,848578,
2003-07,850771,
2003-08,848086,
2003-09,854795,
2003-10,882234,
2003-11,900674,
2003-12,934791,
2004-01,917517,
2004-02,939008,
2004-03,949799,
2004-04,937311,
2004-05,913463,
2004-06,884690,
2004-07,885281,
2004-08,893524,
2004-09,883496,
2004-10,863270,
2004-11,847277,
2004-12,845444,
2005-01,850729,
2005-02,850556,
2005-03,853543,
2005-04,857009,
2005-05,870444,
2005-06,880808,
2005-07,892890,
2005-08,893256,
2005-09,900815,
2005-10,917902,
2005-11,939940,
2005-12,940837,
2006-01,995193,
2006-02,1005056,
2006-03,1010467,
2006-04,1012659,
2006-05,1001965,
2006-06,966714,
2006-07,982873,
2006-08,986394,
2006-09,901532,
2006-10,903686,
2006-11,913839,
2006-12,917466,
2007-01,924587,
2007-02,906040,
2007-03,921298,
2007-04,897782,
2007-05,885093,
2007-06,873423,
2007-07,888230,
2007-08,896223,
2007-09,892612,
2007-10,890279,
2007-11,896852,
2007-12,917832,
2008-01,918938,
2008-02,910855,
2008-03,948447,
2008-04,952593,
2008-05,998977,
2008-06,1025115,
2008-07,1018623,
2008-08,1019240,
2008-09,1007412,
2008-10,1019338,
2008-11,1027756,
2008-12,1021441,
2009-01,1023022,
2009-02,1007338,
2009-03,993880,
2009-04,852911,
2009-05,937079,
2009-06,900553,
2009-07,876880,
2009-08,870014,
2009-09,917455,
2009-10,905965,
2009-11,897819,
2009-12,901738,
2010-01,872714,
2010-02,872706,
2010-03,876512,
2010-04,880740,
2010-05,878094,
2010-06,882622,
2010-07,882275,
2010-08,886368,
2010-09,867667,
2010-10,872891,
2010-11,881890,
2010-12,872750,
2011-01,856962,
2011-02,869577,
2011-03,872070,
2011-04,875684,
2011-05,879284,
2011-06,879221,
2011-07,886838,
2011-08,887922,
2011-09,879142,
2011-10,869970,
2011-11,878941,
2011-12,886078,
2012-01,904852,
2012-02,902977,
2012-03,902449,
2012-04,836677,
2012-05,851143,
2012-06,852892,
2012-07,849056,
2012-08,854342,
2012-09,854062,
2012-10,857888,
2012-11,866708,
2012-12,890920,
2013-01,902484,
2013-02,904866,
2013-03,934069,
2013-04,937451,
2013-05,936161,
2013-06,928257,
2013-07,933371,
2013-08,935901,
2013-09,936611,
2013-10,942360,
2013-11,950984,
2013-12,958421,
2014-01,954525,
2014-02,957745,
2014-03,955342,
2014-04,1029116,
2014-05,1030969,
2014-06,1023791,
2014-07,1035559,
2014-08,1049943,
2014-09,1050049,
2014-10,929664,
2014-11,953434,
