"",BBK01.OELL04M,BBK01.OELL04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:01,
2002-01,2.895,
2002-04,2.796,
2002-07,2.763,
2002-10,2.791,
2003-01,2.761,
2003-04,2.682,
2003-07,2.589,
2003-10,2.537,
2004-01,2.445,
2004-04,2.359,
2004-07,2.310,
2004-10,2.303,
2005-01,2.199,
2005-04,2.198,
2005-07,2.184,
2005-10,2.238,
2006-01,2.238,
2006-04,2.219,
2006-07,2.224,
2006-10,2.372,
2007-01,2.532,
2007-04,2.670,
2007-07,2.846,
2007-10,3.159,
2008-01,3.439,
2008-04,3.736,
2008-07,3.606,
2008-10,4.187,
2009-01,3.786,
2009-04,3.343,
2009-07,3.011,
2009-10,2.634,
2010-01,2.456,
2010-04,2.349,
2010-07,2.269,
2010-10,2.307,
2011-01,2.268,
2011-04,2.260,
2011-07,2.326,
2011-10,2.439,
2012-01,2.455,
2012-04,2.403,
2012-07,2.297,
2012-10,2.129,
2013-01,2.054,
2013-04,1.968,
2013-07,1.878,
2013-10,1.851,
2014-01,1.770,
2014-04,1.686,
2014-07,1.676,
