"",BBK01.OEHB19O,BBK01.OEHB19O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:24,
2002-01,0.790,
2002-04,0.788,
2002-07,0.789,
2002-10,0.782,
2003-01,0.766,
2003-04,0.762,
2003-07,0.769,
2003-10,0.754,
2004-01,0.737,
2004-04,0.747,
2004-07,0.746,
2004-10,0.747,
2005-01,0.742,
2005-04,0.748,
2005-07,0.753,
2005-10,0.748,
2006-01,0.755,
2006-04,0.740,
2006-07,0.730,
2006-10,0.719,
2007-01,0.704,
2007-04,0.696,
2007-07,0.684,
2007-10,0.648,
2008-01,0.633,
2008-04,0.631,
2008-07,0.640,
2008-10,0.615,
2009-01,0.605,
2009-04,0.635,
2009-07,0.654,
2009-10,0.657,
2010-01,0.661,
2010-04,0.669,
2010-07,0.693,
2010-10,0.692,
2011-01,0.689,
2011-04,0.705,
2011-07,0.725,
2011-10,0.720,
2012-01,0.726,
2012-04,0.739,
2012-07,0.758,
2012-10,0.751,
2013-01,0.743,
2013-04,0.757,
2013-07,0.766,
2013-10,0.752,
2014-01,0.738,
2014-04,0.743,
2014-07,0.743,
