"",BBK01.OEAM02Q,BBK01.OEAM02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:19,
2002-01,0.373,
2002-04,0.387,
2002-07,0.325,
2002-10,0.481,
2003-01,0.421,
2003-04,0.346,
2003-07,0.633,
2003-10,0.598,
2004-01,0.453,
2004-04,0.372,
2004-07,0.392,
2004-10,0.508,
2005-01,0.503,
2005-04,0.506,
2005-07,0.491,
2005-10,0.684,
2006-01,0.563,
2006-04,0.756,
2006-07,0.703,
2006-10,0.784,
2007-01,0.620,
2007-04,0.690,
2007-07,0.566,
2007-10,0.587,
2008-01,0.516,
2008-04,0.524,
2008-07,0.506,
2008-10,0.775,
2009-01,1.541,
2009-04,2.223,
2009-07,2.615,
2009-10,1.111,
2010-01,1.067,
2010-04,1.301,
2010-07,1.125,
2010-10,0.855,
2011-01,1.440,
2011-04,2.074,
2011-07,1.433,
2011-10,1.239,
2012-01,1.452,
2012-04,1.162,
2012-07,1.245,
2012-10,1.051,
2013-01,1.197,
2013-04,1.823,
2013-07,1.417,
2013-10,2.034,
2014-01,1.736,
2014-04,1.731,
2014-07,1.830,
