"",BBK01.OEAF40Q,BBK01.OEAF40Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:34,
2002-01,0.070,
2002-04,0.072,
2002-07,0.069,
2002-10,0.070,
2003-01,0.069,
2003-04,0.079,
2003-07,0.105,
2003-10,0.107,
2004-01,0.101,
2004-04,0.089,
2004-07,0.097,
2004-10,0.078,
2005-01,0.076,
2005-04,0.077,
2005-07,0.087,
2005-10,0.082,
2006-01,0.080,
2006-04,0.083,
2006-07,0.082,
2006-10,0.066,
2007-01,0.069,
2007-04,0.065,
2007-07,0.057,
2007-10,0.057,
2008-01,0.057,
2008-04,0.059,
2008-07,0.059,
2008-10,0.058,
2009-01,0.058,
2009-04,0.055,
2009-07,0.055,
2009-10,0.055,
2010-01,0.063,
2010-04,0.060,
2010-07,0.087,
2010-10,0.081,
2011-01,0.083,
2011-04,0.082,
2011-07,0.085,
2011-10,0.088,
2012-01,0.087,
2012-04,0.088,
2012-07,0.086,
2012-10,0.084,
2013-01,0.082,
2013-04,0.076,
2013-07,0.078,
2013-10,0.077,
2014-01,0.076,
2014-04,0.076,
2014-07,0.077,
