"",BBFB1.Q.N.DE.S6.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:03,
1991-01,3735.705,
1991-04,-724.329,
1991-07,-281.193,
1991-10,2941.690,
1992-01,326.633,
1992-04,2572.705,
1992-07,-2059.008,
1992-10,3272.933,
1993-01,1859.246,
1993-04,1697.621,
1993-07,-1391.949,
1993-10,4373.461,
1994-01,-157.721,
1994-04,-1150.458,
1994-07,3195.292,
1994-10,325.388,
1995-01,3201.772,
1995-04,2489.606,
1995-07,7615.182,
1995-10,2999.205,
1996-01,5738.066,
1996-04,7253.548,
1996-07,492.040,
1996-10,492.834,
1997-01,6181.990,
1997-04,3044.378,
1997-07,-2710.590,
1997-10,3258.781,
1998-01,-6763.030,
1998-04,1580.844,
1998-07,-2788.783,
1998-10,10405.838,
1999-01,-7509.941,
1999-04,-1918.485,
1999-07,4009.892,
1999-10,5034.455,
2000-01,5836.881,
2000-04,1975.641,
2000-07,2629.636,
2000-10,4444.050,
2001-01,-5574.440,
2001-04,5338.678,
2001-07,-2344.949,
2001-10,5472.089,
2002-01,3871.310,
2002-04,1487.603,
2002-07,1429.412,
2002-10,9923.289,
2003-01,-4178.526,
2003-04,16471.378,
2003-07,-1493.020,
2003-10,-4872.413,
2004-01,11006.500,
2004-04,5568.284,
2004-07,761.096,
2004-10,424.069,
2005-01,-7331.273,
2005-04,9661.076,
2005-07,2404.453,
2005-10,-313.225,
2006-01,-5238.033,
2006-04,6280.201,
2006-07,-1389.180,
2006-10,-3549.964,
2007-01,7323.643,
2007-04,6604.323,
2007-07,7438.459,
2007-10,1555.194,
2008-01,9683.368,
2008-04,11193.145,
2008-07,7109.922,
2008-10,-16242.837,
2009-01,-9432.193,
2009-04,-1062.101,
2009-07,3810.060,
2009-10,-957.077,
2010-01,6240.986,
2010-04,6477.228,
2010-07,8873.043,
2010-10,13598.507,
2011-01,-1257.505,
2011-04,4249.992,
2011-07,-3829.362,
2011-10,2634.039,
2012-01,296.874,
2012-04,5286.433,
2012-07,-2453.607,
2012-10,-3356.463,
2013-01,8895.745,
2013-04,6215.577,
2013-07,1050.690,
2013-10,14892.226,
2014-01,8012.062,Provisional value
2014-04,7040.563,Provisional value
2014-07,3146.946,Provisional value
2014-10,-12975.230,Provisional value
