"",BBFB1.Q.N.DE.RU.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:32,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,16.910,
1992-07,26.854,
1992-10,27.703,
1993-01,15.848,
1993-04,17.067,
1993-07,19.012,
1993-10,20.742,
1994-01,12.778,
1994-04,15.876,
1994-07,19.497,
1994-10,25.574,
1995-01,8.385,
1995-04,10.064,
1995-07,7.303,
1995-10,11.311,
1996-01,12.125,
1996-04,13.139,
1996-07,20.431,
1996-10,14.374,
1997-01,47.613,
1997-04,55.897,
1997-07,56.511,
1997-10,56.402,
1998-01,53.931,
1998-04,54.598,
1998-07,43.281,
1998-10,36.205,
1999-01,46.300,
1999-04,52.926,
1999-07,59.755,
1999-10,60.806,
2000-01,73.754,
2000-04,74.858,
2000-07,77.135,
2000-10,79.052,
2001-01,96.029,
2001-04,106.179,
2001-07,106.302,
2001-10,103.658,
2002-01,105.422,
2002-04,109.573,
2002-07,112.153,
2002-10,116.433,
2003-01,90.739,
2003-04,105.215,
2003-07,110.402,
2003-10,121.269,
2004-01,146.462,
2004-04,138.018,
2004-07,146.290,
2004-10,152.434,
2005-01,141.277,
2005-04,162.338,
2005-07,187.420,
2005-10,223.316,
2006-01,255.534,
2006-04,289.095,
2006-07,319.499,
2006-10,357.811,
2007-01,360.098,
2007-04,296.770,
2007-07,233.457,
2007-10,165.134,
2008-01,-20.465,
2008-04,206.055,
2008-07,266.904,
2008-10,152.691,
2009-01,104.773,
2009-04,123.212,
2009-07,180.835,
2009-10,264.817,
2010-01,153.045,
2010-04,176.342,
2010-07,179.781,
2010-10,178.120,
2011-01,134.013,
2011-04,138.342,
2011-07,127.688,
2011-10,126.724,
2012-01,129.230,
2012-04,132.981,
2012-07,133.231,
2012-10,125.931,
2013-01,166.089,
2013-04,173.532,
2013-07,160.507,
2013-10,157.526,
2014-01,160.435,Provisional value
2014-04,174.940,Provisional value
2014-07,158.026,Provisional value
