"",BBK01.OEBB02V,BBK01.OEBB02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:09,
2002-01,3.082,
2002-04,3.171,
2002-07,3.119,
2002-10,2.985,
2003-01,2.697,
2003-04,2.447,
2003-07,2.748,
2003-10,2.600,
2004-01,2.465,
2004-04,2.360,
2004-07,2.387,
2004-10,2.166,
2005-01,2.135,
2005-04,2.091,
2005-07,1.908,
2005-10,1.750,
2006-01,1.773,
2006-04,1.840,
2006-07,1.742,
2006-10,1.755,
2007-01,1.589,
2007-04,1.606,
2007-07,1.565,
2007-10,1.566,
2008-01,1.586,
2008-04,1.656,
2008-07,1.780,
2008-10,1.782,
2009-01,1.665,
2009-04,1.648,
2009-07,1.648,
2009-10,1.592,
2010-01,1.528,
2010-04,1.505,
2010-07,1.480,
2010-10,1.358,
2011-01,1.304,
2011-04,1.356,
2011-07,1.469,
2011-10,1.380,
2012-01,1.310,
2012-04,1.283,
2012-07,1.345,
2012-10,1.380,
2013-01,1.425,
2013-04,1.246,
2013-07,1.432,
2013-10,1.342,
2014-01,1.421,
2014-04,1.685,
2014-07,1.585,
