"",BBK01.PC3292,BBK01.PC3292_FLAGS
"",Housing loans to domestic enterprises and resident individuals / Short-term / Building and loan asscociations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:44,
1999-01,1.958,
1999-04,1.893,
1999-07,1.856,
1999-10,1.873,
2000-01,1.652,
2000-04,1.707,
2000-07,1.707,
2000-10,1.423,
2001-01,1.403,
2001-04,1.481,
2001-07,1.499,
2001-10,1.518,
2002-01,1.404,
2002-04,1.453,
2002-07,1.481,
2002-10,1.448,
2003-01,1.320,
2003-04,1.299,
2003-07,1.429,
2003-10,1.388,
2004-01,1.316,
2004-04,1.343,
2004-07,1.345,
2004-10,1.338,
2005-01,1.209,
2005-04,1.248,
2005-07,1.252,
2005-10,1.231,
2006-01,1.182,
2006-04,1.197,
2006-07,1.232,
2006-10,1.391,
2007-01,1.421,
2007-04,1.498,
2007-07,1.636,
2007-10,1.469,
2008-01,1.441,
2008-04,1.307,
2008-07,1.380,
2008-10,1.387,
2009-01,1.281,
2009-04,1.366,
2009-07,1.424,
2009-10,1.416,
2010-01,1.363,
2010-04,1.570,
2010-07,1.602,
2010-10,1.545,
2011-01,1.478,
2011-04,1.500,
2011-07,1.548,
2011-10,1.539,
2012-01,1.488,
2012-04,1.486,
2012-07,1.479,
2012-10,1.481,
2013-01,1.465,
2013-04,1.492,
2013-07,1.499,
2013-10,1.483,
2014-01,1.462,
2014-04,1.500,
2014-07,1.534,
2014-10,0.969,
