"",BBK01.OELI07I,BBK01.OELI07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:04,
2002-01,2.521,
2002-04,2.438,
2002-07,2.453,
2002-10,2.554,
2003-01,2.616,
2003-04,2.570,
2003-07,2.460,
2003-10,2.498,
2004-01,2.430,
2004-04,2.376,
2004-07,2.311,
2004-10,2.378,
2005-01,2.360,
2005-04,2.308,
2005-07,2.296,
2005-10,2.325,
2006-01,2.330,
2006-04,2.291,
2006-07,2.271,
2006-10,2.250,
2007-01,2.178,
2007-04,2.138,
2007-07,2.139,
2007-10,2.152,
2008-01,2.135,
2008-04,2.076,
2008-07,2.048,
2008-10,2.059,
2009-01,2.033,
2009-04,1.951,
2009-07,1.884,
2009-10,1.916,
2010-01,1.971,
2010-04,1.946,
2010-07,1.890,
2010-10,1.838,
2011-01,1.811,
2011-04,1.803,
2011-07,1.761,
2011-10,1.760,
2012-01,1.730,
2012-04,1.734,
2012-07,1.736,
2012-10,1.775,
2013-01,1.820,
2013-04,1.865,
2013-07,1.832,
2013-10,1.850,
2014-01,1.843,
2014-04,1.848,
2014-07,1.843,
