"",BBK01.OEHB14O,BBK01.OEHB14O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:22,
2002-01,1.149,
2002-04,1.134,
2002-07,1.103,
2002-10,1.072,
2003-01,1.074,
2003-04,1.053,
2003-07,1.029,
2003-10,0.969,
2004-01,0.976,
2004-04,0.971,
2004-07,0.957,
2004-10,0.929,
2005-01,0.941,
2005-04,0.914,
2005-07,0.873,
2005-10,0.849,
2006-01,0.860,
2006-04,0.848,
2006-07,0.815,
2006-10,0.796,
2007-01,0.787,
2007-04,0.780,
2007-07,0.749,
2007-10,0.748,
2008-01,0.769,
2008-04,0.763,
2008-07,0.747,
2008-10,0.772,
2009-01,0.811,
2009-04,0.786,
2009-07,0.759,
2009-10,0.729,
2010-01,0.752,
2010-04,0.750,
2010-07,0.713,
2010-10,0.700,
2011-01,0.733,
2011-04,0.732,
2011-07,0.708,
2011-10,0.692,
2012-01,0.709,
2012-04,0.709,
2012-07,0.681,
2012-10,0.698,
2013-01,0.700,
2013-04,0.682,
2013-07,0.664,
2013-10,0.657,
2014-01,0.667,
2014-04,0.661,
2014-07,0.633,
