"",BBK01.CEL730,BBK01.CEL730_FLAGS
"",Other accounts payable                                        debtor: MFI  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:49,
1999-01,1.0,
1999-04,-2.9,
1999-07,1.3,
1999-10,11.7,
2000-01,5.9,
2000-04,-25.2,
2000-07,5.2,
2000-10,16.2,
2001-01,13.3,
2001-04,-19.4,
2001-07,8.6,
2001-10,12.2,
2002-01,4.9,
2002-04,6.6,
2002-07,4.0,
2002-10,14.0,
2003-01,4.9,
2003-04,-0.8,
2003-07,-17.6,
2003-10,36.5,
2004-01,-27.3,
2004-04,-10.2,
2004-07,2.5,
2004-10,41.2,
2005-01,-42.7,
2005-04,-11.8,
2005-07,12.8,
2005-10,10.8,
2006-01,-1.4,
2006-04,-4.5,
2006-07,24.5,
2006-10,35.3,
2007-01,-11.8,
2007-04,3.0,
2007-07,33.1,
2007-10,33.3,
2008-01,3.9,
2008-04,-7.8,
2008-07,0.9,
2008-10,40.2,
2009-01,-0.8,
2009-04,-59.7,
2009-07,13.4,
2009-10,-3.1,
2010-01,-60.0,
2010-04,-15.7,
2010-07,-29.9,
2010-10,-33.3,
2011-01,-14.7,
2011-04,-5.3,
2011-07,-32.6,
2011-10,4.7,
2012-01,1.3,
2012-04,-0.7,
2012-07,-5.7,
2012-10,25.6,
2013-01,10.4,
2013-04,-8.4,
2013-07,-6.1,
2013-10,27.7,
2014-01,3.6,
2014-04,9.3,
2014-07,-20.0,
