"",BBK01.OEAD35V,BBK01.OEAD35V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:09,
2002-01,0.462,
2002-04,0.455,
2002-07,0.437,
2002-10,0.432,
2003-01,0.449,
2003-04,0.382,
2003-07,0.387,
2003-10,0.378,
2004-01,0.375,
2004-04,0.375,
2004-07,0.380,
2004-10,0.370,
2005-01,0.368,
2005-04,0.368,
2005-07,0.360,
2005-10,0.353,
2006-01,0.343,
2006-04,0.345,
2006-07,0.336,
2006-10,0.337,
2007-01,0.348,
2007-04,0.355,
2007-07,0.372,
2007-10,0.397,
2008-01,0.381,
2008-04,0.411,
2008-07,0.433,
2008-10,0.434,
2009-01,0.446,
2009-04,0.475,
2009-07,0.463,
2009-10,0.424,
2010-01,0.458,
2010-04,0.455,
2010-07,0.458,
2010-10,0.466,
2011-01,0.467,
2011-04,0.459,
2011-07,0.471,
2011-10,0.470,
2012-01,0.464,
2012-04,0.469,
2012-07,0.466,
2012-10,0.457,
2013-01,0.452,
2013-04,0.457,
2013-07,0.470,
2013-10,0.467,
2014-01,0.451,
2014-04,0.450,
2014-07,0.453,
