"",BBK01.OEAE16K,BBK01.OEAE16K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:55,
2002-01,0.154,
2002-04,0.144,
2002-07,0.144,
2002-10,0.159,
2003-01,0.149,
2003-04,0.154,
2003-07,0.136,
2003-10,0.146,
2004-01,0.120,
2004-04,0.126,
2004-07,0.162,
2004-10,0.162,
2005-01,0.160,
2005-04,0.156,
2005-07,0.140,
2005-10,0.149,
2006-01,0.140,
2006-04,0.148,
2006-07,0.195,
2006-10,0.185,
2007-01,0.211,
2007-04,0.196,
2007-07,0.191,
2007-10,0.180,
2008-01,0.191,
2008-04,0.179,
2008-07,0.174,
2008-10,0.167,
2009-01,0.129,
2009-04,0.192,
2009-07,0.165,
2009-10,0.181,
2010-01,0.165,
2010-04,0.195,
2010-07,0.221,
2010-10,0.287,
2011-01,0.286,
2011-04,0.243,
2011-07,0.216,
2011-10,0.215,
2012-01,0.217,
2012-04,0.198,
2012-07,0.212,
2012-10,0.232,
2013-01,0.219,
2013-04,0.183,
2013-07,0.202,
2013-10,0.176,
2014-01,0.157,
2014-04,0.156,
2014-07,0.174,
