"",BBK01.OEAA42O,BBK01.OEAA42O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:41,
2002-01,1.392,
2002-04,1.253,
2002-07,1.359,
2002-10,1.467,
2003-01,4.028,
2003-04,1.413,
2003-07,1.004,
2003-10,1.539,
2004-01,1.192,
2004-04,1.988,
2004-07,1.701,
2004-10,2.140,
2005-01,2.101,
2005-04,1.879,
2005-07,1.819,
2005-10,2.143,
2006-01,2.440,
2006-04,1.828,
2006-07,2.268,
2006-10,2.318,
2007-01,2.255,
2007-04,1.945,
2007-07,1.673,
2007-10,1.676,
2008-01,1.999,
2008-04,2.008,
2008-07,1.772,
2008-10,2.518,
2009-01,2.113,
2009-04,1.995,
2009-07,2.064,
2009-10,2.805,
2010-01,2.600,
2010-04,2.691,
2010-07,3.096,
2010-10,3.013,
2011-01,2.824,
2011-04,3.001,
2011-07,2.484,
2011-10,2.227,
2012-01,2.173,
2012-04,2.253,
2012-07,2.180,
2012-10,2.417,
2013-01,2.393,
2013-04,2.341,
2013-07,2.613,
2013-10,2.099,
2014-01,2.440,
2014-04,2.555,
2014-07,2.205,
