"",BBSF2.M.1.P.00000.GEF01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed funds / Net sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:14,
1999-06,217,
1999-07,446,
1999-08,347,
1999-09,301,
1999-10,289,
1999-11,323,
1999-12,305,
2000-01,322,
2000-02,261,
2000-03,233,
2000-04,145,
2000-05,142,
2000-06,105,
2000-07,112,
2000-08,103,
2000-09,99,
2000-10,89,
2000-11,155,
2000-12,80,
2001-01,107,
2001-02,66,
2001-03,19,
2001-04,34,
2001-05,50,
2001-06,24,
2001-07,17,
2001-08,5,
2001-09,-40,
2001-10,4,
2001-11,54,
2001-12,14,
2002-01,13,
2002-02,-6,
2002-03,-4,
2002-04,-13,
2002-05,6,
2002-06,-19,
2002-07,-17,
2002-08,-16,
2002-09,-25,
2002-10,-31,
2002-11,-5,
2002-12,-32,
2003-01,-59,
2003-02,-82,
2003-03,-41,
2003-04,2,
2003-05,-4,
2003-06,-36,
2003-07,-21,
2003-08,-12,
2003-09,-17,
2003-10,-18,
2003-11,17,
2003-12,-23,
2004-01,-24,
2004-02,-21,
2004-03,-28,
2004-04,-23,
2004-05,50,
2004-06,-18,
2004-07,-18,
2004-08,-23,
2004-09,-32,
2004-10,-31,
2004-11,-25,
2004-12,-30,
2005-01,-40,
2005-02,-53,
2005-03,-40,
2005-04,17,
2005-05,-10,
2005-06,-1,
2005-07,62,
2005-08,121,
2005-09,162,
2005-10,111,
2005-11,143,
2005-12,182,
2006-01,491,
2006-02,382,
2006-03,221,
2006-04,178,
2006-05,167,
2006-06,87,
2006-07,68,
2006-08,71,
2006-09,59,
2006-10,41,
2006-11,91,
2006-12,-6,
2007-01,176,
2007-02,779,
2007-03,117,
2007-04,85,
2007-05,544,
2007-06,96,
2007-07,188,
2007-08,208,
2007-09,80,
2007-10,379,
2007-11,748,
2007-12,491,
2008-01,831,
2008-02,143,
2008-03,614,
2008-04,606,
2008-05,860,
2008-06,598,
2008-07,263,
2008-08,169,
2008-09,141,
2008-10,-313,
2008-11,206,
2008-12,1071,
2009-01,329,
2009-02,-192,
2009-03,-170,
2009-04,-8,
2009-05,-42,
2009-06,-104,
2009-07,267,
2009-08,-18,
2009-09,156,
2009-10,186,
2009-11,-21,
2009-12,155,
2010-01,496,
2010-02,229,
2010-03,488,
2010-04,1083,
2010-05,36,
2010-06,-201,
2010-07,202,
2010-08,245,
2010-09,232,
2010-10,186,
2010-11,232,
2010-12,-109,
2011-01,405,
2011-02,169,
2011-03,30,
2011-04,149,
2011-05,-78,
2011-06,-116,
2011-07,-122,
2011-08,-369,
2011-09,-59,
2011-10,-5,
2011-11,-53,
2011-12,-177,
2012-01,-60,
2012-02,125,
2012-03,27,
2012-04,603,
2012-05,-17,
2012-06,-130,
2012-07,142,
2012-08,-510,
2012-09,116,
2012-10,260,
2012-11,33,
2012-12,85,
2013-01,82,
2013-02,311,
2013-03,156,
2013-04,61,
2013-05,123,
2013-06,-638,
2013-07,256,
2013-08,-60,
2013-09,137,
2013-10,-3,
2013-11,142,
2013-12,86,
2014-01,-185,
2014-02,74,
2014-03,191,
2014-04,116,
2014-05,160,
2014-06,197,
2014-07,184,
2014-08,216,
2014-09,-23,
2014-10,24,
2014-11,88,
