"",BBSF2.M.1.S.00000.REN01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Distribution of earnings,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:00,
1993-04,39,
1993-05,33,
1993-06,89,
1993-07,26,
1993-08,2,
1993-09,23,
1993-10,91,
1993-11,250,
1993-12,770,
1994-01,265,
1994-02,142,
1994-03,115,
1994-04,81,
1994-05,19,
1994-06,84,
1994-07,399,
1994-08,24,
1994-09,10,
1994-10,40,
1994-11,223,
1994-12,1146,
1995-01,347,
1995-02,152,
1995-03,134,
1995-04,42,
1995-05,57,
1995-06,44,
1995-07,33,
1995-08,36,
1995-09,19,
1995-10,348,
1995-11,172,
1995-12,1307,
1996-01,325,
1996-02,245,
1996-03,136,
1996-04,88,
1996-05,63,
1996-06,100,
1996-07,43,
1996-08,16,
1996-09,25,
1996-10,44,
1996-11,203,
1996-12,1447,
1997-01,413,
1997-02,286,
1997-03,124,
1997-04,194,
1997-05,62,
1997-06,134,
1997-07,36,
1997-08,153,
1997-09,21,
1997-10,53,
1997-11,126,
1997-12,1762,
1998-01,264,
1998-02,385,
1998-03,190,
1998-04,198,
1998-05,143,
1998-06,243,
1998-07,56,
1998-08,82,
1998-09,65,
1998-10,62,
1998-11,157,
1998-12,2184,
1999-01,351,
1999-02,391,
1999-03,444,
1999-04,296,
1999-05,330,
1999-06,188,
1999-07,108,
1999-08,66,
1999-09,73,
1999-10,54,
1999-11,208,
1999-12,2299,
2000-01,355,
2000-02,318,
2000-03,298,
2000-04,349,
2000-05,263,
2000-06,281,
2000-07,52,
2000-08,55,
2000-09,64,
2000-10,92,
2000-11,235,
2000-12,2339,
2001-01,435,
2001-02,413,
2001-03,397,
2001-04,320,
2001-05,296,
2001-06,340,
2001-07,101,
2001-08,60,
2001-09,35,
2001-10,108,
2001-11,381,
2001-12,2776,
2002-01,463,
2002-02,496,
2002-03,459,
2002-04,176,
2002-05,129,
2002-06,267,
2002-07,49,
2002-08,35,
2002-09,119,
2002-10,163,
2002-11,286,
2002-12,3543,
2003-01,626,
2003-02,478,
2003-03,439,
2003-04,173,
2003-05,222,
2003-06,232,
2003-07,35,
2003-08,87,
2003-09,144,
2003-10,97,
2003-11,392,
2003-12,2524,
2004-01,528,
2004-02,385,
2004-03,272,
2004-04,146,
2004-05,228,
2004-06,181,
2004-07,20,
2004-08,36,
2004-09,143,
2004-10,51,
2004-11,242,
2004-12,2306,
2005-01,557,
2005-02,309,
2005-03,288,
2005-04,337,
2005-05,200,
2005-06,239,
2005-07,36,
2005-08,364,
2005-09,134,
2005-10,43,
2005-11,272,
2005-12,2451,
2006-01,384,
2006-02,363,
2006-03,277,
2006-04,320,
2006-05,154,
2006-06,104,
2006-07,39,
2006-08,51,
2006-09,320,
2006-10,75,
2006-11,362,
2006-12,1597,
2007-01,492,
2007-02,317,
2007-03,342,
2007-04,281,
2007-05,151,
2007-06,281,
2007-07,70,
2007-08,104,
2007-09,70,
2007-10,111,
2007-11,626,
2007-12,2864,
2008-01,663,
2008-02,326,
2008-03,538,
2008-04,428,
2008-05,173,
2008-06,223,
2008-07,75,
2008-08,57,
2008-09,141,
2008-10,97,
2008-11,633,
2008-12,2624,
2009-01,1027,
2009-02,270,
2009-03,431,
2009-04,376,
2009-05,195,
2009-06,127,
2009-07,159,
2009-08,135,
2009-09,105,
2009-10,155,
2009-11,361,
2009-12,2629,
2010-01,1538,
2010-02,427,
2010-03,407,
2010-04,812,
2010-05,199,
2010-06,212,
2010-07,197,
2010-08,63,
2010-09,87,
2010-10,121,
2010-11,511,
2010-12,2884,
2011-01,1942,
2011-02,1132,
2011-03,411,
2011-04,444,
2011-05,239,
2011-06,145,
2011-07,93,
2011-08,98,
2011-09,405,
2011-10,217,
2011-11,738,
2011-12,3213,
2012-01,1775,
2012-02,1333,
2012-03,655,
2012-04,354,
2012-05,148,
2012-06,401,
2012-07,299,
2012-08,254,
2012-09,497,
2012-10,235,
2012-11,652,
2012-12,2598,
2013-01,2392,
2013-02,1510,
2013-03,598,
2013-04,286,
2013-05,222,
2013-06,366,
2013-07,13,
2013-08,151,
2013-09,480,
2013-10,458,
2013-11,1939,
2013-12,2207,
2014-01,1783,
2014-02,1569,
2014-03,409,
2014-04,260,
2014-05,232,
2014-06,381,
2014-07,69,
2014-08,184,
2014-09,261,
2014-10,162,
2014-11,2184,
