"",BBSF2.M.1.S.I0122.REN01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.REN01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Number / Domestic credit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:49:36,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,123,
1993-05,124,
1993-06,127,
1993-07,133,
1993-08,138,
1993-09,144,
1993-10,145,
1993-11,148,
1993-12,149,
1994-01,151,
1994-02,157,
1994-03,164,
1994-04,168,
1994-05,173,
1994-06,182,
1994-07,185,
1994-08,192,
1994-09,196,
1994-10,198,
1994-11,200,
1994-12,205,
1995-01,209,
1995-02,213,
1995-03,215,
1995-04,217,
1995-05,218,
1995-06,218,
1995-07,218,
1995-08,220,
1995-09,221,
1995-10,220,
1995-11,221,
1995-12,230,
1996-01,236,
1996-02,239,
1996-03,249,
1996-04,255,
1996-05,263,
1996-06,271,
1996-07,281,
1996-08,284,
1996-09,285,
1996-10,290,
1996-11,292,
1996-12,298,
1997-01,306,
1997-02,315,
1997-03,326,
1997-04,334,
1997-05,341,
1997-06,344,
1997-07,350,
1997-08,360,
1997-09,370,
1997-10,373,
1997-11,381,
1997-12,387,
1998-01,393,
1998-02,398,
1998-03,411,
1998-04,417,
1998-05,428,
1998-06,433,
1998-07,444,
1998-08,452,
1998-09,461,
1998-10,474,
1998-11,480,
1998-12,489,
1999-01,491,
1999-02,503,
1999-03,509,
1999-04,520,
1999-05,532,
1999-06,539,
1999-07,546,
1999-08,549,
1999-09,551,
1999-10,551,
1999-11,567,
1999-12,581,
2000-01,582,
2000-02,580,
2000-03,585,
2000-04,586,
2000-05,597,
2000-06,599,
2000-07,604,
2000-08,609,
2000-09,609,
2000-10,615,
2000-11,620,
2000-12,626,
2001-01,639,
2001-02,649,
2001-03,652,
2001-04,663,
2001-05,662,
2001-06,667,
2001-07,669,
2001-08,676,
2001-09,679,
2001-10,680,
2001-11,679,
2001-12,676,
2002-01,676,
2002-02,677,
2002-03,669,
2002-04,670,
2002-05,668,
2002-06,662,
2002-07,660,
2002-08,659,
2002-09,655,
2002-10,654,
2002-11,647,
2002-12,639,
2003-01,634,
2003-02,632,
2003-03,626,
2003-04,626,
2003-05,626,
2003-06,638,
2003-07,629,
2003-08,633,
2003-09,631,
2003-10,634,
2003-11,630,
2003-12,630,
2004-01,635,
2004-02,623,
2004-03,627,
2004-04,626,
2004-05,622,
2004-06,621,
2004-07,619,
2004-08,616,
2004-09,610,
2004-10,604,
2004-11,601,
2004-12,597,
2005-01,594,
2005-02,581,
2005-03,549,
2005-04,549,
2005-05,545,
2005-06,541,
2005-07,536,
2005-08,536,
2005-09,523,
2005-10,514,
2005-11,497,
2005-12,488,
2006-01,469,
2006-02,461,
2006-03,454,
2006-04,446,
2006-05,439,
2006-06,438,
2006-07,434,
2006-08,432,
2006-09,431,
2006-10,428,
2006-11,427,
2006-12,420,
2007-01,414,
2007-02,408,
2007-03,402,
2007-04,393,
2007-05,384,
2007-06,381,
2007-07,381,
2007-08,372,
2007-09,369,
2007-10,364,
2007-11,361,
2007-12,350,
2008-01,347,
2008-02,343,
2008-03,343,
2008-04,346,
2008-05,345,
2008-06,339,
2008-07,334,
2008-08,333,
2008-09,331,
2008-10,328,
2008-11,325,
2008-12,322,
2009-01,316,
2009-02,309,
2009-03,305,
2009-04,304,
2009-05,294,
2009-06,292,
2009-07,293,
2009-08,295,
2009-09,296,
2009-10,299,
2009-11,296,
2009-12,292,
2010-01,288,
2010-02,290,
2010-03,287,
2010-04,286,
2010-05,284,
2010-06,282,
2010-07,280,
2010-08,281,
2010-09,280,
2010-10,279,
2010-11,279,
2010-12,278,
2011-01,276,
2011-02,276,
2011-03,274,
2011-04,271,
2011-05,271,
2011-06,272,
2011-07,270,
2011-08,271,
2011-09,272,
2011-10,271,
2011-11,264,
2011-12,265,
2012-01,262,
2012-02,263,
2012-03,264,
2012-04,272,
2012-05,274,
2012-06,274,
2012-07,274,
2012-08,279,
2012-09,279,
2012-10,275,
2012-11,269,
2012-12,271,
2013-01,272,
2013-02,270,
2013-03,267,
2013-04,267,
2013-05,266,
2013-06,268,
2013-07,277,
2013-08,277,
2013-09,274,
2013-10,273,
2013-11,272,
2013-12,273,
2014-01,273,
2014-02,270,
2014-03,267,
2014-04,266,
2014-05,263,
2014-06,258,
2014-07,255,
2014-08,255,
2014-09,255,
2014-10,254,
2014-11,254,
