"",BBFB1.Q.N.DE.B5.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:21,
1991-01,7767.190,
1991-04,-392.220,
1991-07,3735.157,
1991-10,20990.025,
1992-01,5881.517,
1992-04,4197.710,
1992-07,6147.043,
1992-10,33829.952,
1993-01,44141.339,
1993-04,26291.713,
1993-07,12712.566,
1993-10,33571.310,
1994-01,-5956.037,
1994-04,-12070.128,
1994-07,9536.463,
1994-10,36585.355,
1995-01,9936.921,
1995-04,22774.125,
1995-07,-1311.143,
1995-10,13973.503,
1996-01,5151.162,
1996-04,6480.526,
1996-07,-4005.729,
1996-10,46111.463,
1997-01,24153.279,
1997-04,36007.063,
1997-07,19868.690,
1997-10,39832.568,
1998-01,69940.092,
1998-04,54350.545,
1998-07,18654.259,
1998-10,55586.224,
1999-01,109545.260,
1999-04,43398.027,
1999-07,64543.664,
1999-10,79542.636,
2000-01,111282.568,
2000-04,72802.356,
2000-07,81236.039,
2000-10,-4355.789,
2001-01,130598.628,
2001-04,4257.541,
2001-07,67308.277,
2001-10,13290.979,
2002-01,55043.466,
2002-04,76116.583,
2002-07,82968.287,
2002-10,22343.264,
2003-01,94104.975,
2003-04,54411.033,
2003-07,9426.638,
2003-10,29702.326,
2004-01,91933.681,
2004-04,-2051.206,
2004-07,92227.121,
2004-10,43445.026,
2005-01,143823.412,
2005-04,85022.228,
2005-07,48157.216,
2005-10,40152.520,
2006-01,180987.460,
2006-04,52006.902,
2006-07,71567.647,
2006-10,61438.622,
2007-01,134814.176,
2007-04,172222.448,
2007-07,85085.394,
2007-10,56268.618,
2008-01,193924.404,
2008-04,59499.753,
2008-07,30316.698,
2008-10,-71437.694,
2009-01,-8761.084,
2009-04,66358.759,
2009-07,-5579.354,
2009-10,49775.988,
2010-01,87783.983,
2010-04,100699.608,
2010-07,90063.771,
2010-10,67926.424,
2011-01,59066.478,
2011-04,68165.629,
2011-07,161580.698,
2011-10,-43593.470,
2012-01,245190.139,
2012-04,126516.487,
2012-07,26529.633,
2012-10,-38527.885,
2013-01,16503.377,
2013-04,40335.164,
2013-07,-31356.089,
2013-10,-52183.790,
2014-01,58539.411,Provisional value
2014-04,56123.519,Provisional value
2014-07,54665.507,Provisional value
2014-10,-37486.020,Provisional value
