"",BBK01.OECL04Q,BBK01.OECL04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:41,
2002-01,0.236,
2002-04,0.208,
2002-07,0.218,
2002-10,0.201,
2003-01,0.177,
2003-04,0.172,
2003-07,0.151,
2003-10,0.142,
2004-01,0.142,
2004-04,0.161,
2004-07,0.131,
2004-10,0.292,
2005-01,0.372,
2005-04,0.336,
2005-07,0.318,
2005-10,0.322,
2006-01,0.377,
2006-04,0.374,
2006-07,0.430,
2006-10,0.485,
2007-01,0.548,
2007-04,0.627,
2007-07,0.806,
2007-10,0.972,
2008-01,1.091,
2008-04,1.175,
2008-07,1.512,
2008-10,1.549,
2009-01,1.203,
2009-04,1.147,
2009-07,0.841,
2009-10,0.673,
2010-01,0.463,
2010-04,0.375,
2010-07,0.267,
2010-10,0.191,
2011-01,0.200,
2011-04,0.226,
2011-07,0.211,
2011-10,0.270,
2012-01,0.278,
2012-04,0.272,
2012-07,0.242,
2012-10,0.158,
2013-01,0.112,
2013-04,0.137,
2013-07,0.131,
2013-10,0.119,
2014-01,0.127,
2014-04,0.090,
2014-07,0.083,
